Quarter,Time,Tm,Detail,PHI,BUF
1.0,8:03,Bills,Fred Jackson 5 yard rush (Rian Lindell kick),0,7
2.0,12:42,Eagles,Jeremy Maclin 2 yard pass from Michael Vick (Alex Henery kick),7,7
,9:17,Bills,David Nelson 6 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,14
,9:00,Bills,Nick Barnett 31 yard interception return (Rian Lindell kick),7,21
3.0,9:11,Bills,Brad Smith 5 yard rush (Rian Lindell kick),7,28
,7:17,Eagles,LeSean McCoy 10 yard rush (Alex Henery kick),14,28
,1:15,Bills,Rian Lindell 25 yard field goal,14,31
4.0,14:51,Eagles,DeSean Jackson 31 yard pass from Michael Vick (Alex Henery kick),21,31
,9:29,Eagles,Alex Henery 35 yard field goal,24,31
