Unnamed: 0,PHI,BUF
First Downs,24,21
Rush-Yds-TDs,20-174-1,35-143-2
Cmp-Att-Yd-TD-INT,26-40-315-2-4,21-27-193-1-1
Sacked-Yards,0-0,1-5
Net Pass Yards,315,188
Total Yards,489,331
Fumbles-Lost,1-1,0-0
Turnovers,5,1
Penalties-Yards,5-46,4-40
Third Down Conv.,2-9,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:22,33:38
