Unnamed: 0,CLE,IND
First Downs,18,19
Rush-Yds-TDs,34-106-2,26-109-0
Cmp-Att-Yd-TD-INT,22-32-211-1-0,19-38-191-1-1
Sacked-Yards,1-14,2-15
Net Pass Yards,197,176
Total Yards,303,285
Fumbles-Lost,4-1,1-1
Turnovers,1,2
Penalties-Yards,3-49,4-21
Third Down Conv.,8-16,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,34:34,25:26
