Quarter,Time,Tm,Detail,CLE,IND
1.0,10:31,Colts,Adam Vinatieri 39 yard field goal,0,3
2.0,14:15,Colts,Adam Vinatieri 27 yard field goal,0,6
,7:53,Browns,Evan Moore 16 yard pass from Colt McCoy (Phil Dawson kick),7,6
,3:53,Colts,Adam Vinatieri 52 yard field goal,7,9
,0:15,Browns,Peyton Hillis 1 yard rush (Phil Dawson kick),14,9
3.0,6:52,Colts,Adam Vinatieri 36 yard field goal,14,12
4.0,10:57,Browns,Phil Dawson 20 yard field goal,17,12
,3:55,Browns,Peyton Hillis 24 yard rush (Phil Dawson kick),24,12
,2:59,Browns,Phil Dawson 23 yard field goal,27,12
,0:24,Colts,Dallas Clark 6 yard pass from Kerry Collins (Adam Vinatieri kick),27,19
