Quarter,Time,Down,ToGo,Location,CLE,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Phil Dawson kicks off 71 yards, returned by Joe Lefeged for 18 yards (tackle by Armond Smith)",0.000,-0.350
1,14:57,1,10,IND 12,0,0,Kerry Collins pass complete short left to Dallas Clark for 8 yards (tackle by Mike Adams),-0.350,0.290
1,14:30,2,2,IND 20,0,0,Joseph Addai up the middle for 2 yards (tackle by Ahtyba Rubin),0.290,0.410
1,13:44,1,10,IND 22,0,0,Kerry Collins pass complete short right to Austin Collie for 6 yards (tackle by Dimitri Patterson),0.410,0.680
1,13:07,2,4,IND 28,0,0,Joseph Addai right tackle for 2 yards (tackle by Ahtyba Rubin and Phil Taylor),0.680,0.230
1,12:30,3,2,IND 30,0,0,"Kerry Collins pass incomplete deep right intended for Pierre Garcon. Penalty on Joe Haden: Illegal Contact (Declined), Penalty on Joe Haden: Defensive Pass Interference, 34 yards (no play)",0.230,3.180
1,12:22,1,10,CLE 36,0,0,Joseph Addai right end for 9 yards (tackle by Joe Haden),3.180,3.850
1,11:59,2,1,CLE 27,0,0,Kerry Collins pass complete short right to Brody Eldridge for 4 yards (tackle by Scott Fujita),3.850,4.040
1,11:23,1,10,CLE 23,0,0,Joseph Addai right tackle for 2 yards (tackle by Jayme Mitchell),4.040,3.770
1,10:44,2,8,CLE 21,0,0,Kerry Collins pass incomplete short left intended for Austin Collie,3.770,3.070
1,10:40,3,8,CLE 21,0,0,Kerry Collins pass incomplete short right intended for Austin Collie (defended by Dimitri Patterson),3.070,2.060
1,10:36,4,8,CLE 21,0,3,Adam Vinatieri 39 yard field goal good,2.060,3.000
1,,,,IND 35,0,3,"Pat McAfee kicks off 74 yards, touchback",0.000,0.280
1,10:31,1,10,CLE 20,0,3,Peyton Hillis left guard for 2 yards (tackle by Kavell Conner),0.280,0.000
1,9:58,2,8,CLE 22,0,3,Peyton Hillis up the middle for 5 yards (tackle by Melvin Bullitt),0.000,-0.030
1,9:17,3,3,CLE 27,0,3,Colt McCoy pass incomplete short right intended for Mohamed Massaquoi,-0.030,-1.570
1,9:14,4,3,CLE 27,0,3,"Brad Maynard punts 48 yards, fair catch by Blair White",-1.570,-0.610
1,9:06,1,10,IND 25,0,3,Kerry Collins pass incomplete short left intended for Reggie Wayne (defended by Phil Taylor),0.610,0.060
1,9:01,2,10,IND 25,0,3,Joseph Addai up the middle for 7 yards (tackle by D'Qwell Jackson),0.060,0.300
1,8:29,3,3,IND 32,0,3,Kerry Collins sacked by Ahtyba Rubin for -7 yards,0.300,-1.700
1,8:20,4,10,IND 25,0,3,"Pat McAfee punts 47 yards, fair catch by Josh Cribbs",-1.700,-0.810
1,8:10,1,10,CLE 28,0,3,Colt McCoy pass complete short middle to Ben Watson for 7 yards (tackle by Jerraud Powers),0.810,1.210
1,7:41,2,3,CLE 35,0,3,Peyton Hillis up the middle for 4 yards (tackle by Fili Moala and Kavell Conner),1.210,1.530
1,7:04,1,10,CLE 39,0,3,Colt McCoy pass complete short left to Josh Cribbs for 9 yards (tackle by Justin Tryon and Jerraud Powers),1.530,2.200
1,6:30,2,1,CLE 48,0,3,Peyton Hillis left end for 3 yards (tackle by Philip Wheeler),2.200,2.320
1,5:55,1,10,IND 49,0,3,Colt McCoy pass complete short middle to Greg Little for 5 yards (tackle by Drake Nevis and Jerraud Powers),2.320,2.460
1,5:20,2,5,IND 44,0,3,Peyton Hillis left end for 3 yards (tackle by Jerraud Powers),2.460,2.150
1,4:37,3,2,IND 41,0,3,"Colt McCoy sacked by Dwight Freeney for -9 yards. Colt McCoy fumbles (forced by Dwight Freeney), recovered by Joe Thomas at CLE-45",2.150,-0.390
1,4:03,4,16,CLE 45,0,3,Brad Maynard punts 42 yards,-0.390,0.320
1,3:55,1,10,IND 13,0,3,Delone Carter left end for 18 yards (tackle by T.J. Ward),-0.320,1.000
1,3:38,1,10,IND 31,0,3,Kerry Collins pass complete short left to Reggie Wayne for 19 yards (tackle by T.J. Ward and Scott Fujita),1.000,2.260
1,3:05,1,10,,0,3,Delone Carter up the middle for 1 yard (tackle by Jayme Mitchell),2.260,1.850
1,2:35,2,9,CLE 49,0,3,Delone Carter up the middle for 3 yards (tackle by Brian Schaefering and Jabaal Sheard),1.850,1.550
1,1:58,3,6,CLE 46,0,3,Kerry Collins pass complete short left to Dallas Clark for 8 yards (tackle by Scott Fujita),1.550,3.050
1,1:19,1,10,CLE 38,0,3,Kerry Collins pass complete deep middle to Reggie Wayne for 20 yards (tackle by Sheldon Brown),3.050,4.370
1,0:53,1,10,CLE 18,0,3,Delone Carter right end for 5 yards (tackle by Phil Taylor),4.370,4.610
1,0:14,2,5,CLE 13,0,3,Delone Carter left guard for 4 yards (tackle by D'Qwell Jackson),4.610,4.740
Quarter,Time,Down,ToGo,Location,CLE,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,CLE 9,0,3,Delone Carter up the middle for no gain (tackle by Phil Taylor and Chris Gocong),4.740,2.980
2,14:20,4,1,CLE 9,0,6,Adam Vinatieri 27 yard field goal good,2.980,3.000
2,,,,IND 35,0,6,"Pat McAfee kicks off 72 yards, returned by Josh Cribbs for 52 yards (tackle by Pat McAfee)",0.000,1.930
