Quarter,Time,Tm,Detail,TEN,MIN
1.0,2:31,Vikings,Percy Harvin 4 yard rush (Blair Walsh kick),0,7
2.0,10:27,Vikings,Blair Walsh 42 yard field goal,0,10
,1:52,Vikings,Blair Walsh 36 yard field goal,0,13
3.0,5:07,Vikings,Blair Walsh 26 yard field goal,0,16
,0:05,Vikings,Percy Harvin 10 yard pass from Christian Ponder (Blair Walsh kick),0,23
4.0,10:35,Titans,Jared Cook 10 yard pass from Matt Hasselbeck (Rob Bironas kick),7,23
,6:38,Vikings,Kyle Rudolph 15 yard pass from Christian Ponder (Blair Walsh kick),7,30
