Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Chris Johnson left guard for 6 yards (tackle by Jamarca Sanford),0.280,0.540
1,14:20,2,4,TEN 26,0,0,Chris Johnson left guard for -1 yards (tackle by Erin Henderson),0.540,-0.300
1,13:35,3,5,TEN 25,0,0,Matt Hasselbeck pass complete short left to Darius Reynaud for 17 yards (tackle by Antoine Winfield),-0.300,1.730
1,13:06,1,10,TEN 42,0,0,Matt Hasselbeck pass complete short middle to Nate Washington for 12 yards,1.730,2.520
1,12:21,1,10,MIN 46,0,0,Matt Hasselbeck pass complete short right to Nate Washington for 7 yards (tackle by Josh Robinson),2.520,2.920
1,11:53,2,3,MIN 39,0,0,Chris Johnson up the middle for no gain (tackle by Letroy Guion),2.920,2.210
1,11:10,3,3,MIN 39,0,0,Matt Hasselbeck sacked by Brian Robison for -8 yards,2.210,0.130
1,10:43,4,11,MIN 47,0,0,"Brett Kern punts 37 yards, fair catch by Marcus Sherels",0.130,0.380
1,10:35,1,10,MIN 10,0,0,Christian Ponder pass incomplete short right intended for Jerome Simpson (defended by Jason McCourty),-0.380,-0.780
1,10:29,2,10,MIN 10,0,0,Adrian Peterson up the middle for 3 yards (tackle by Colin McCarthy),-0.780,-1.070
1,9:55,3,7,MIN 13,0,0,Christian Ponder pass complete short middle to Adrian Peterson for 2 yards (tackle by Colin McCarthy and Jordan Babineaux),-1.070,-2.440
1,9:15,4,5,MIN 15,0,0,"Chris Kluwe punts 52 yards, returned by Darius Reynaud for 14 yards (tackle by Harrison Smith)",-2.440,-2.060
1,9:02,1,10,TEN 47,0,0,Matt Hasselbeck pass incomplete short left intended for Kendall Wright (defended by Kevin Williams),2.060,1.520
1,8:58,2,10,TEN 47,0,0,Chris Johnson up the middle for 3 yards (tackle by Chad Greenway),1.520,1.220
1,8:14,3,7,,0,0,Matt Hasselbeck pass complete short middle to Kendall Wright for 3 yards (tackle by Harrison Smith),1.220,0.130
1,7:37,4,4,MIN 47,0,0,"Brett Kern punts 38 yards, out of bounds",0.130,0.380
1,7:30,1,10,MIN 9,0,0,Christian Ponder right end for 13 yards,-0.380,0.410
1,6:50,1,10,MIN 22,0,0,Adrian Peterson left end for -2 yards (tackle by Alterraun Verner),0.410,-0.400
1,6:16,2,12,MIN 20,0,0,Christian Ponder pass complete short right to Michael Jenkins for 15 yards (tackle by Jordan Babineaux),-0.400,1.270
1,5:35,1,10,MIN 35,0,0,Christian Ponder pass complete short right to Kyle Rudolph for 4 yards (tackle by Jason McCourty),1.270,1.260
1,4:57,2,6,MIN 39,0,0,Christian Ponder pass complete deep left to Percy Harvin for 45 yards (tackle by Alterraun Verner),1.260,4.510
1,4:26,1,10,TEN 16,0,0,Adrian Peterson right guard for 1 yard (tackle by Markelle Martin),4.510,4.050
1,3:50,2,9,TEN 15,0,0,Adrian Peterson left end for -1 yards (tackle by Will Witherspoon and Alterraun Verner),4.050,3.080
1,3:14,3,10,TEN 16,0,0,Christian Ponder pass complete short right to Michael Jenkins for 12 yards (tackle by Alterraun Verner and Jordan Babineaux),3.080,6.280
1,2:35,1,4,TEN 4,0,6,"Percy Harvin right guard for 4 yards, touchdown",6.280,7.000
1,2:35,,,TEN 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,2:31,,,MIN 35,0,7,"Blair Walsh kicks off 63 yards, returned by Darius Reynaud for 30 yards (tackle by Everson Griffen)",0.000,1.070
1,2:24,1,10,TEN 32,0,7,Chris Johnson left guard for -2 yards (tackle by Fred Evans and Antoine Winfield),1.070,0.260
1,1:47,2,12,TEN 30,0,7,Matt Hasselbeck pass incomplete short middle intended for Craig Stevens (defended by Chad Greenway),0.260,-0.430
1,1:44,3,12,TEN 30,0,7,Matt Hasselbeck up the middle for 11 yards (tackle by Harrison Smith),-0.430,-0.650
,,,,,,,"MIN challenged the first down ruling, and the original play was overturned.",,
1,1:09,4,1,TEN 41,0,7,Jordan Babineaux right end for 10 yards (tackle by Tyrone McKenzie),-0.650,2.320
1,0:35,1,10,MIN 49,0,7,"Chris Johnson left guard for 2 yards (tackle by Jasper Brinkley). Chris Johnson fumbles (forced by Jasper Brinkley), recovered by Harrison Smith at MIN-44. Penalty on Chris Cook: Unnecessary Roughness, 15 yards",2.320,-0.870
1,0:28,1,10,MIN 29,0,7,"Adrian Peterson up the middle for 7 yards (tackle by Alterraun Verner). Penalty on Charlie Johnson: Offensive Holding, 10 yards (no play)",0.870,0.110
1,0:01,1,20,MIN 19,0,7,Adrian Peterson up the middle for 2 yards (tackle by Markelle Martin and Zach Brown),0.110,-0.750
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,MIN 21,0,7,Christian Ponder pass complete deep left to Devin Aromashodu for 19 yards (tackle by Zach Brown),-0.750,1.600
2,14:35,1,10,MIN 40,0,7,Percy Harvin left end for 4 yards (tackle by Alterraun Verner),1.600,1.590
2,13:57,2,6,MIN 44,0,7,Christian Ponder pass incomplete short right intended for Percy Harvin (defended by Ryan Mouton),1.590,0.890
2,13:53,3,6,MIN 44,0,7,Christian Ponder pass complete short middle to Adrian Peterson for 3 yards (tackle by Colin McCarthy and Markelle Martin),0.890,-0.260
2,13:16,4,3,MIN 47,0,7,"Chris Kluwe punts 35 yards, fair catch by Darius Reynaud",-0.260,-0.040
2,13:08,1,10,TEN 18,0,7,Matt Hasselbeck pass complete short right to Quinn Johnson for 15 yards (tackle by Chad Greenway and Letroy Guion),0.040,1.140
2,12:33,1,10,TEN 33,0,7,"Penalty on Steve Hutchinson: False Start, 5 yards (no play)",1.140,0.810
2,12:14,1,15,TEN 28,0,7,Matt Hasselbeck pass complete short right to Craig Stevens for -4 yards (tackle by Chad Greenway),0.810,-0.620
2,11:35,2,19,TEN 24,0,7,Matt Hasselbeck pass incomplete short left intended for Kenny Britt (defended by Jamarca Sanford),-0.620,-1.290
2,11:31,3,19,TEN 24,0,7,"Matt Hasselbeck pass incomplete short left intended for Nate Washington is intercepted by Antoine Winfield at TEN-34 and returned for 6 yards (tackle by Nate Washington). Penalty on Harrison Smith: Disqualification, 15 yards",-1.290,-2.720
2,11:24,1,10,TEN 43,0,7,"Adrian Peterson up the middle for 4 yards (tackle by Zach Brown). Penalty on Coty Sensabaugh: Unnecessary Roughness, 15 yards",2.720,3.970
2,11:00,1,10,TEN 24,0,7,Christian Ponder pass incomplete short middle intended for Kyle Rudolph,3.970,3.430
2,10:51,2,10,TEN 24,0,7,Christian Ponder pass incomplete deep right intended for Jerome Simpson,3.430,2.740
2,10:45,3,10,TEN 24,0,7,Christian Ponder sacked by Markelle Martin for 0 yards,2.740,1.870
2,10:32,4,10,TEN 24,0,10,Blair Walsh 42 yard field goal good,1.870,3.000
2,10:27,,,MIN 35,0,10,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
2,10:27,1,10,TEN 20,0,10,Chris Johnson up the middle for 2 yards (tackle by Brian Robison and Kevin Williams),0.280,0.000
2,9:49,2,8,TEN 22,0,10,"Penalty on David Stewart: False Start, 5 yards (no play)",0.000,-0.790
2,9:34,2,13,TEN 17,0,10,"Matt Hasselbeck pass complete short left to Craig Stevens for 18 yards (tackle by Erin Henderson). Craig Stevens fumbles (forced by Erin Henderson), ball out of bounds at TEN-35",-0.790,1.270
2,9:11,1,10,TEN 35,0,10,Chris Johnson left end for 2 yards (tackle by Chris Cook),1.270,0.990
2,8:30,2,8,TEN 37,0,10,Matt Hasselbeck pass incomplete short left intended for Nate Washington (defended by Chris Cook),0.990,0.300
2,8:25,3,8,TEN 37,0,10,Matt Hasselbeck pass complete short left to Kendall Wright for 4 yards (tackle by Chris Cook and Chad Greenway),0.300,-0.650
2,7:47,4,4,TEN 41,0,10,"Brett Kern punts 49 yards, returned by Marcus Sherels for no gain. Penalty on Josh Robinson: Offensive Holding, 5 yards",-0.650,0.380
2,7:34,1,10,MIN 5,0,10,Christian Ponder pass complete short middle to Percy Harvin for 18 yards (tackle by Jason McCourty),-0.380,0.480
2,6:55,1,10,MIN 23,0,10,Adrian Peterson right guard for 1 yard (tackle by Akeem Ayers),0.480,0.070
2,6:21,2,9,MIN 24,0,10,Adrian Peterson left guard for 22 yards,0.070,1.990
2,5:37,1,10,MIN 46,0,10,Christian Ponder pass incomplete deep right intended for Percy Harvin,1.990,1.450
2,5:31,2,10,MIN 46,0,10,Christian Ponder pass complete short middle to Devin Aromashodu for 9 yards (tackle by Jason McCourty),1.450,1.950
2,4:50,3,1,TEN 45,0,10,Toby Gerhart right guard for 1 yard (tackle by SenDerrick Marks),1.950,2.650
2,4:23,1,10,TEN 44,0,10,Christian Ponder for 11 yards,2.650,3.380
2,3:46,1,10,TEN 33,0,10,Christian Ponder pass complete short right to Percy Harvin for 10 yards (tackle by Jason McCourty),3.380,4.040
2,3:04,1,10,TEN 23,0,10,Adrian Peterson up the middle for -1 yards (tackle by Zach Brown),4.040,3.360
