Unnamed: 0,TEN,MIN
First Downs,18,25
Rush-Yds-TDs,19-52-0,31-175-1
Cmp-Att-Yd-TD-INT,29-48-234-1-1,25-35-258-2-2
Sacked-Yards,2-19,1-0
Net Pass Yards,215,258
Total Yards,267,433
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,10-75,5-60
Third Down Conv.,8-17,3-11
Fourth Down Conv.,1-2,0-0
Time of Possession,26:54,33:06
