Unnamed: 0,JAX,NWE
First Downs,16,26
Rush-Yds-TDs,25-98-1,36-197-1
Cmp-Att-Yd-TD-INT,19-25-185-0-2,23-26-267-4-0
Sacked-Yards,2-8,0-0
Net Pass Yards,177,267
Total Yards,275,464
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,1-5,2-10
Third Down Conv.,4-11,6-10
Fourth Down Conv.,1-2,2-3
Time of Possession,27:35,32:25
