Quarter,Time,Tm,Detail,JAX,NWE
1.0,2:48,Patriots,Randy Moss 2 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
2.0,14:54,Patriots,Chris Baker 26 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
,5:04,Patriots,Sammy Morris 1 yard rush (Stephen Gostkowski kick),0,21
,0:45,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,28
4.0,14:54,Patriots,Randy Moss 17 yard pass from Tom Brady (Stephen Gostkowski kick),0,35
,12:41,Jaguars,David Garrard 2 yard rush (Josh Scobee kick),7,35
