Unnamed: 0,KAN,LAC
First Downs,23,28
Rush-Yds-TDs,22-125-0,44-183-1
Cmp-Att-Yd-TD-INT,27-47-302-2-0,22-33-311-1-1
Sacked-Yards,1-13,2-15
Net Pass Yards,289,296
Total Yards,414,479
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,11-90,6-40
Third Down Conv.,7-15,6-13
Fourth Down Conv.,1-1,1-2
Time of Possession,28:38,39:27
