Quarter,Time,Tm,Detail,KAN,LAC
1,11:23,Chargers,Justin Herbert 4 yard rush (Michael Badgley kick),0,7
2,8:51,Chiefs,Travis Kelce 10 yard pass from Patrick Mahomes (Harrison Butker kick failed),6,7
,2:30,Chargers,Jalen Guyton 14 yard pass from Justin Herbert (Michael Badgley kick),6,14
3,8:07,Chargers,Michael Badgley 41 yard field goal,6,17
,3:11,Chiefs,Harrison Butker 58 yard field goal,9,17
4,12:48,Chiefs,Tyreek Hill 54 yard pass from Patrick Mahomes (Mecole Hardman pass from Patrick Mahomes),17,17
,2:27,Chargers,Michael Badgley 23 yard field goal,17,20
,10:00,Chiefs,Harrison Butker 30 yard field goal,20,20
OT,1:55,Chiefs,Harrison Butker 58 yard field goal,23,20
