Unnamed: 0,TEN,IND
First Downs,19,21
Rush-Yds-TDs,28-127-1,23-38-0
Cmp-Att-Yd-TD-INT,17-21-137-2-0,27-37-356-2-1
Sacked-Yards,3-21,3-29
Net Pass Yards,116,327
Total Yards,243,365
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,6-40,7-50
Third Down Conv.,5-12,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:03,33:57
