Unnamed: 0,BUF,LAC
First Downs,18,28
Rush-Yds-TDs,22-173-2,35-146-2
Cmp-Att-Yd-TD-INT,21-39-224-1-5,25-37-284-2-0
Sacked-Yards,1-4,1-1
Net Pass Yards,220,283
Total Yards,393,429
Fumbles-Lost,2-1,1-0
Turnovers,6,0
Penalties-Yards,6-48,1-13
Third Down Conv.,6-14,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,23:55,36:05
