Unnamed: 0,BAL,DEN
First Downs,11,16
Rush-Yds-TDs,23-73-0,25-69-0
Cmp-Att-Yd-TD-INT,18-32-117-0-2,24-40-175-0-1
Sacked-Yards,2-17,4-25
Net Pass Yards,100,150
Total Yards,173,219
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,3-15,8-45
Third Down Conv.,2-13,8-18
Fourth Down Conv.,1-1,0-0
Time of Possession,22:43,37:17
