Quarter,Time,Down,ToGo,Location,BAL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,BAL 20,0,0,Joe Flacco pass complete short left to Kyle Juszczyk for 3 yards (tackle by Chris Harris),0.280,0.140
1,14:33,2,7,BAL 23,0,0,Justin Forsett left guard for 2 yards (tackle by Malik Jackson),0.140,-0.300
1,13:52,3,5,BAL 25,0,0,Joe Flacco pass complete short middle to Steve Smith for 10 yards (tackle by Brandon Marshall),-0.300,1.270
1,13:14,1,10,BAL 35,0,0,Justin Forsett left tackle for no gain (tackle by Danny Trevathan and Shaquil Barrett),1.270,0.720
1,12:30,2,10,BAL 35,0,0,Joe Flacco pass complete short right to Steve Smith for 3 yards (tackle by Aqib Talib),0.720,0.430
1,11:45,3,7,BAL 38,0,0,Joe Flacco pass incomplete short middle intended for Kamar Aiken,0.430,-0.850
1,11:41,4,7,BAL 38,0,0,"Sam Koch punts 48 yards, fair catch by Emmanuel Sanders",-0.850,0.280
1,11:33,1,10,DEN 14,0,0,C.J. Anderson right guard for 3 yards (tackle by Elvis Dumervil),-0.280,-0.370
1,11:12,2,7,DEN 17,0,0,Peyton Manning pass complete short left to Demaryius Thomas for 8 yards (tackle by Jimmy Smith),-0.370,0.610
1,10:45,1,10,DEN 25,0,0,C.J. Anderson left guard for 5 yards (tackle by Brandon Williams),0.610,0.740
1,10:09,2,5,DEN 30,0,0,Peyton Manning pass incomplete short left intended for C.J. Anderson (defended by Daryl Smith),0.740,0.040
1,10:06,3,5,DEN 30,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 6 yards (tackle by Will Hill),0.040,1.330
1,9:29,1,10,DEN 36,0,0,"Penalty on Brandon Williams: Encroachment, 5 yards (no play)",1.330,2.060
1,9:13,1,5,DEN 41,0,0,C.J. Anderson left tackle for 1 yard (tackle by Brandon Williams),2.060,1.600
1,8:40,2,4,DEN 42,0,0,Peyton Manning pass incomplete short left intended for Emmanuel Sanders,1.600,0.890
1,8:34,3,4,DEN 42,0,0,Peyton Manning pass complete short left to Emmanuel Sanders for 13 yards (tackle by Jimmy Smith),0.890,2.590
1,7:57,1,10,BAL 45,0,0,Peyton Manning pass incomplete short left intended for Virgil Green (defended by Chris Canty),2.590,2.040
1,7:52,2,10,BAL 45,0,0,Ronnie Hillman right tackle for 7 yards (tackle by Daryl Smith and C.J. Mosley),2.040,2.280
1,7:08,3,3,BAL 38,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 6 yards (tackle by Lardarius Webb),2.280,3.450
