Quarter,Time,Tm,Detail,BAL,DEN
1.0,5:16,Broncos,Brandon McManus 57 yard field goal,0,3
,1:26,Broncos,Brandon McManus 56 yard field goal,0,6
2.0,6:42,Ravens,Justin Tucker 52 yard field goal,3,6
,0:09,Broncos,Brandon McManus 43 yard field goal,3,9
3.0,14:04,Ravens,Jimmy Smith 24 yard interception return (Justin Tucker kick),10,9
,9:33,Ravens,Justin Tucker 44 yard field goal,13,9
,0:10,Broncos,Aqib Talib 51 yard interception return (Brandon McManus kick),13,16
4.0,2:55,Broncos,Brandon McManus 33 yard field goal,13,19
