Quarter,Time,Tm,Detail,KAN,SEA
1.0,10:51,Chiefs,Priest Holmes 15 yard rush (Morten Andersen kick),7,0
,3:29,Chiefs,Morten Andersen 31 yard field goal,10,0
2.0,7:32,Seahawks,Shaun Alexander 3 yard rush (Rian Lindell kick),10,7
,7:08,Chiefs,Priest Holmes 64 yard pass from Trent Green (Morten Andersen kick),17,7
,2:36,Seahawks,Mack Strong 2 yard pass from Matt Hasselbeck (Rian Lindell kick),17,14
,0:06,Seahawks,Jerramy Stevens 6 yard pass from Matt Hasselbeck (Rian Lindell kick),17,21
3.0,11:47,Seahawks,Koren Robinson 17 yard pass from Matt Hasselbeck (Rian Lindell kick),17,28
4.0,14:57,Chiefs,Priest Holmes 4 yard rush (Trent Green run),25,28
,10:42,Seahawks,Rian Lindell 37 yard field goal,25,31
,1:52,Seahawks,Shaun Alexander 46 yard rush (Matt Hasselbeck run),25,39
,0:31,Chiefs,Marc Boerigter 15 yard pass from Trent Green (Morten Andersen kick),32,39
