Unnamed: 0,KAN,SEA
First Downs,32,32
Rush-Yds-TDs,26-217-2,30-180-2
Cmp-Att-Yd-TD-INT,26-34-343-2-1,25-36-362-3-0
Sacked-Yards,2-8,1-8
Net Pass Yards,335,354
Total Yards,552,534
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-70,5-52
Third Down Conv.,1-5,6-10
Fourth Down Conv.,0-0,0-0
Time of Possession,30:08,29:52
