Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA
1,9:54,1,10,HOU 25,0,3,Davis Mills pass complete short middle to Nico Collins for 15 yards (tackle by Rock Ya-Sin),0.610,1.600
1,9:21,1,10,HOU 40,0,3,Dameon Pierce right guard for 4 yards (tackle by Blake Martinez),1.600,1.590
1,8:44,2,6,HOU 44,0,3,Dameon Pierce right guard for 2 yards (tackle by Chandler Jones),1.590,1.160
1,8:05,3,4,HOU 46,0,3,Davis Mills pass complete short right to Jordan Akins for 19 yards (tackle by Trevon Moehrig),1.160,3.250
1,7:26,1,10,LVR 35,0,3,Dameon Pierce for 10 yards (tackle by Duron Harmon),3.250,3.910
1,6:44,1,10,LVR 25,0,3,Dameon Pierce up the middle for 3 yards (tackle by Blake Martinez and Clelin Ferrell),3.910,3.770
1,6:06,2,7,LVR 22,0,3,Dameon Pierce left guard for -2 yards (tackle by Denzel Perryman and Johnathan Hankins),3.770,2.810
1,5:24,3,9,LVR 24,0,3,Davis Mills pass complete short right to Brandin Cooks for 3 yards (tackle by Amik Robertson and Bilal Nichols),2.810,2.080
1,4:44,4,6,LVR 21,0,3,Ka'imi Fairbairn 39 yard field goal no good,2.080,-0.870
1,4:40,1,10,LVR 29,0,3,"Derek Carr aborted snap, recovered by Derek Carr at LV-23",0.870,-0.480
1,4:00,2,16,LVR 23,0,3,Derek Carr sacked by Rasheem Green for -5 yards,-0.480,-2.040
1,3:20,3,21,LVR 18,0,3,Derek Carr pass complete short left to Ameer Abdullah for 5 yards (tackle by Christian Kirksey),-2.040,-1.770
1,2:54,4,15,LVR 24,0,3,"AJ Cole punts, fair catch by Desmond King at HOU-25. Penalty on Clelin Ferrell: Offensive Holding, 10 yards (accepted) (no play)",-1.770,-2.490
1,2:47,4,26,LVR 13,0,3,"AJ Cole punts 50 yards, returned by Desmond King for 1 yard (tackle by Ameer Abdullah)",-2.490,-1.470
1,2:39,1,10,HOU 38,0,3,Davis Mills pass complete short right to Dameon Pierce for 11 yards (tackle by Rock Ya-Sin),1.470,2.190
1,2:07,1,10,HOU 49,0,3,Davis Mills pass incomplete short middle intended for Chris Moore (defended by Trevon Moehrig),2.190,1.650
1,2:04,2,10,HOU 49,0,3,Davis Mills pass complete short right to Nico Collins for 9 yards (tackle by Denzel Perryman),1.650,2.150
1,1:26,3,1,LVR 42,0,3,Dameon Pierce left guard for 4 yards (tackle by Denzel Perryman),2.150,3.050
1,0:50,1,10,LVR 38,0,3,Dameon Pierce right guard for 4 yards (tackle by Andrew Billings and Bilal Nichols),3.050,3.050
1,0:08,2,6,LVR 34,0,3,Davis Mills pass complete short right to Rex Burkhead for -3 yards (tackle by Denzel Perryman),3.050,1.950
Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,LVR 37,0,3,Davis Mills pass complete short left to Brandin Cooks for 11 yards (tackle by Divine Deablo),1.950,3.840
2,14:19,1,10,LVR 26,0,3,Davis Mills pass complete short middle to Dameon Pierce for 7 yards (tackle by Blake Martinez),3.840,4.270
2,13:38,2,3,LVR 19,0,3,Davis Mills pass complete short right to Dameon Pierce for 2 yards (tackle by Divine Deablo),4.270,3.950
2,12:51,3,1,LVR 17,0,3,Dameon Pierce up the middle for 3 yards (tackle by Denzel Perryman and Divine Deablo),3.950,4.650
2,12:13,1,10,LVR 14,0,3,Davis Mills pass incomplete short right intended for Brevin Jordan,4.650,4.000
2,12:07,2,10,LVR 14,0,3,Dameon Pierce left guard for 1 yard (tackle by Bilal Nichols and Andrew Billings),4.000,3.260
2,11:22,3,9,LVR 13,6,3,"Davis Mills pass complete short right to Chris Moore for 13 yards, touchdown",3.260,7.000
2,11:17,,,LVR 15,7,3,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,11:17,,,HOU 35,7,3,"Ka'imi Fairbairn kicks off 67 yards, returned by DJ Turner for 20 yards (tackle by Troy Hairston). Penalty on Luke Masterson: Illegal Block Above the Waist, 9 yards (accepted)",0.000,-0.380
2,11:12,1,10,LVR 9,7,3,Josh Jacobs right end for 5 yards (tackle by Mario Addison and Christian Kirksey),-0.380,-0.750
2,10:37,2,10,LVR 14,7,3,Josh Jacobs left guard for 9 yards (tackle by Jalen Pitre),-0.750,0.480
2,9:58,1,10,LVR 23,7,3,Derek Carr pass complete short right to Hunter Renfrow for 20 yards (tackle by Jonathan Owens),0.480,1.800
2,9:10,1,10,LVR 43,7,3,Derek Carr pass complete short right to Davante Adams for 5 yards (tackle by Desmond King),1.800,1.930
2,8:23,2,5,LVR 48,7,3,Josh Jacobs right guard for -1 yards (tackle by Christian Kirksey),1.930,1.090
2,7:40,3,6,LVR 47,7,3,Derek Carr pass incomplete short left intended for Foster Moreau (defended by Steven Nelson),1.090,-0.260
2,7:35,4,6,LVR 47,7,3,"AJ Cole punts 43 yards, fair catch by Desmond King at HOU-10. Penalty on Trent Sieg: Offensive Holding, 10 yards (accepted)",-0.260,-0.280
2,7:28,1,10,HOU 20,7,3,Dameon Pierce up the middle for 9 yards (tackle by Blake Martinez and Johnathan Abram),0.280,0.950
2,6:56,2,1,HOU 29,7,3,Dameon Pierce left tackle for 4 yards (tackle by Divine Deablo),0.950,1.140
2,6:16,1,10,HOU 33,7,3,Dameon Pierce left guard for 22 yards (tackle by Johnathan Abram),1.140,2.590
2,5:37,,,,,,Timeout #1 by Houston Texans,,
2,5:37,1,10,LVR 45,7,3,Davis Mills pass complete short left to Brandin Cooks for 8 yards (tackle by Rock Ya-Sin),2.590,3.120
2,5:10,2,2,LVR 37,7,3,Davis Mills pass incomplete short middle intended for Rex Burkhead,3.120,2.410
2,5:07,3,2,LVR 37,7,3,Davis Mills pass incomplete short right intended for Brandin Cooks,2.410,0.790
2,5:02,4,2,LVR 37,10,3,Ka'imi Fairbairn 55 yard field goal good,0.790,3.000
2,4:57,,,HOU 35,10,3,"Ka'imi Fairbairn kicks off 65 yards, returned by DJ Turner for 18 yards (tackle by Dare Ogunbowale)",0.000,0.040
2,4:51,1,10,LVR 18,10,3,DJ Turner left end for 18 yards (tackle by Desmond King),0.040,1.330
2,4:15,1,10,LVR 36,10,3,Josh Jacobs left guard for 4 yards (tackle by Christian Kirksey),1.330,1.330
2,3:40,2,6,LVR 40,10,3,Derek Carr pass complete short left to Josh Jacobs for 5 yards (tackle by Jalen Pitre),1.330,1.290
2,3:19,3,1,LVR 45,10,3,Josh Jacobs left tackle for 13 yards (tackle by Jonathan Owens),1.290,2.790
2,2:37,1,10,HOU 42,10,3,Zamir White up the middle for 2 yards (tackle by Kamu Grugier-Hill),2.790,2.510
2,2:00,2,8,HOU 40,10,3,DJ Turner right end for 3 yards (tackle by Desmond King),2.510,2.210
2,1:24,3,5,HOU 37,10,3,Josh Jacobs left tackle for 4 yards (tackle by Christian Harris),2.210,1.210
2,0:41,4,1,HOU 33,10,3,Derek Carr pass complete short right to Josh Jacobs for 4 yards (tackle by Christian Kirksey),1.210,3.640
2,0:38,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:38,1,10,HOU 29,10,3,Derek Carr pass complete short left to Josh Jacobs for 3 yards (tackle by Christian Kirksey),3.640,3.510
2,0:31,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:31,2,7,HOU 26,10,9,"Derek Carr pass complete deep middle to Mack Hollins for 26 yards, touchdown",3.510,7.000
2,0:25,,,HOU 15,10,10,Daniel Carlson kicks extra point good,0.000,0.000
2,0:25,,,LVR 35,10,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:25,1,10,HOU 25,10,10,Davis Mills sacked by and Chandler Jones for -6 yards and Clelin Ferrell for -6 yards,0.610,-0.810
Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,10,10,"Daniel Carlson kicks off 60 yards, returned by Tremon Smith for 11 yards (tackle by Ameer Abdullah)",0.000,-0.140
3,14:54,1,10,HOU 16,10,10,Dameon Pierce left tackle for 5 yards (tackle by Johnathan Hankins and Bilal Nichols),-0.140,0.150
3,14:18,2,5,HOU 21,10,10,Dameon Pierce left end for 2 yards (tackle by Maxx Crosby),0.150,-0.450
3,13:34,3,3,HOU 23,10,10,Davis Mills pass complete short right to Jordan Akins for 39 yards (tackle by Duron Harmon),-0.450,3.050
3,12:43,1,10,LVR 38,10,10,Davis Mills pass complete deep left to Phillip Dorsett for 20 yards,3.050,4.370
3,12:05,1,10,LVR 18,10,10,Dameon Pierce up the middle for -4 yards (tackle by Divine Deablo),4.370,3.290
3,11:28,2,14,LVR 22,10,10,Davis Mills pass complete short left to Rex Burkhead for 5 yards (tackle by Divine Deablo),3.290,3.070
3,11:08,3,10,LVR 17,10,10,Davis Mills pass incomplete short middle intended for Brevin Jordan,3.070,2.310
3,11:04,4,10,LVR 17,13,10,Ka'imi Fairbairn 35 yard field goal good,2.310,3.000
3,10:59,,,HOU 35,13,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,10:59,1,10,LVR 25,13,10,Josh Jacobs left tackle for 11 yards (tackle by Jonathan Owens),0.610,1.330
3,10:23,1,10,LVR 36,13,10,Josh Jacobs right tackle for 6 yards (tackle by Thomas Booker and Jonathan Owens),1.330,1.600
3,9:40,2,4,LVR 42,13,10,Derek Carr pass incomplete short left intended for Mack Hollins,1.600,0.890
3,9:34,3,4,LVR 42,13,10,Derek Carr pass complete short middle to Hunter Renfrow for 8 yards (tackle by Desmond King),0.890,2.260
3,8:57,1,10,LVR 50,13,10,Josh Jacobs left guard for 12 yards (tackle by Derek Stingley),2.260,3.050
3,8:14,1,10,HOU 38,13,10,Derek Carr pass complete short right to Foster Moreau for 11 yards (tackle by Kamu Grugier-Hill),3.050,3.780
3,7:28,1,10,HOU 27,13,10,Josh Jacobs right end for 6 yards (tackle by Christian Kirksey),3.780,4.040
3,6:44,2,4,HOU 21,13,10,Derek Carr pass incomplete short right intended for Foster Moreau,4.040,3.340
3,6:39,3,4,HOU 21,13,10,Derek Carr pass complete short middle to Foster Moreau for 17 yards (tackle by Jonathan Owens),3.340,6.280
3,5:54,1,4,HOU 4,13,16,"Josh Jacobs left end for 4 yards, touchdown",6.280,7.000
3,5:48,,,HOU 15,13,17,Daniel Carlson kicks extra point good,0.000,0.000
3,5:48,,,LVR 35,13,17,"Daniel Carlson kicks off 62 yards, returned by Tremon Smith for 23 yards (tackle by Matthias Farley)",0.000,0.670
3,5:42,1,10,HOU 26,13,17,Davis Mills pass complete short left to Nico Collins for 9 yards (tackle by Divine Deablo and Rock Ya-Sin),0.670,1.350
3,5:08,2,1,HOU 35,13,17,Davis Mills pass complete deep left to Brandin Cooks for 24 yards (tackle by Duron Harmon),1.350,2.850
3,4:37,1,10,LVR 41,13,17,Dameon Pierce up the middle for 13 yards (tackle by Duron Harmon),2.850,3.710
3,3:57,1,10,LVR 28,13,17,Dameon Pierce right end for 3 yards (tackle by Denzel Perryman),3.710,3.570
3,3:23,2,7,LVR 25,13,17,Davis Mills pass incomplete short right intended for Brevin Jordan,3.570,2.870
3,3:20,3,7,LVR 25,19,17,"Davis Mills pass complete deep left to Phillip Dorsett for 25 yards, touchdown",2.870,7.000
3,3:14,,,LVR 15,20,17,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,3:14,,,HOU 35,20,17,"Ka'imi Fairbairn kicks off 58 yards, returned by Ameer Abdullah for 17 yards (tackle by Eric Murray and Tremon Smith)",0.000,0.540
3,3:08,1,10,LVR 24,20,17,Derek Carr pass complete short left to Davante Adams for 8 yards (tackle by Derek Stingley),0.540,1.080
3,2:25,2,2,LVR 32,20,17,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",1.080,0.400
3,2:03,2,7,LVR 27,20,17,Derek Carr pass complete short middle to Davante Adams for 15 yards (tackle by Jonathan Owens),0.400,1.730
3,1:20,1,10,LVR 42,20,17,Derek Carr pass complete short middle to Davante Adams for 16 yards (tackle by Jonathan Owens),1.730,2.790
3,0:33,1,10,HOU 42,20,17,Derek Carr pass complete short right to Foster Moreau for no gain (tackle by Thomas Booker),2.790,2.240
Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,HOU 42,20,17,"Derek Carr pass incomplete. Penalty on Thomas Booker: Defensive Offside, 5 yards (accepted) (no play)",2.240,2.920
4,14:53,2,5,HOU 37,20,17,Josh Jacobs left end for 12 yards (tackle by Derek Stingley),2.920,3.910
4,14:17,1,10,HOU 25,20,17,Derek Carr pass complete short left to Mack Hollins for 18 yards (tackle by Derek Stingley),3.910,5.600
4,13:37,1,7,HOU 7,20,23,"Josh Jacobs up the middle for 7 yards, touchdown",5.600,7.000
4,13:32,,,HOU 15,20,24,Daniel Carlson kicks extra point good,0.000,0.000
4,13:32,,,LVR 35,20,24,"Daniel Carlson kicks off 60 yards, returned by Tremon Smith for 19 yards (tackle by Ameer Abdullah)",0.000,0.540
4,13:27,1,10,HOU 24,20,24,Dameon Pierce up the middle for 4 yards (tackle by Kendal Vickers and Divine Deablo),0.540,0.540
4,12:52,2,6,HOU 28,20,24,Davis Mills pass complete short right to Dameon Pierce for 5 yards (tackle by Rock Ya-Sin),0.540,0.500
4,12:12,3,1,HOU 33,20,24,Dameon Pierce left guard for no gain (tackle by Maxx Crosby),0.500,-1.180
4,11:29,,,,,,Timeout #1 by Las Vegas Raiders,,
4,11:29,4,1,HOU 33,20,24,"Penalty on Kenyon Green: False Start, 4 yards (accepted) (no play)",-1.180,-1.440
4,11:29,4,6,HOU 29,20,24,"Cameron Johnston punts 55 yards, recovered by DJ Turner at LV-19",-1.440,-0.150
4,11:21,1,10,LVR 19,20,24,Josh Jacobs right tackle for 12 yards (tackle by Christian Kirksey),0.150,1.000
4,10:36,1,10,LVR 31,20,24,Derek Carr pass complete deep right to Hunter Renfrow for 27 yards (tackle by Jonathan Owens),1.000,2.790
4,9:51,1,10,HOU 42,20,24,Josh Jacobs right end for 13 yards (tackle by Christian Kirksey),2.790,3.640
4,9:06,1,10,HOU 29,20,24,Derek Carr pass incomplete deep right intended for Davante Adams,3.640,3.100
4,9:00,2,10,HOU 29,20,24,DJ Turner left end for -1 yards (tackle by Desmond King),3.100,2.280
4,8:15,3,11,HOU 30,20,24,Derek Carr pass complete short left to Davante Adams for 10 yards (tackle by Derek Stingley),2.280,2.270
4,7:32,4,1,HOU 20,20,24,"Penalty on Roy Lopez: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.270,4.580
4,7:12,1,10,HOU 15,20,30,"Josh Jacobs left guard for 15 yards, touchdown",4.580,7.000
4,7:06,,,HOU 15,20,31,Daniel Carlson kicks extra point good,0.000,0.000
4,7:06,,,LVR 35,20,31,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,7:06,1,10,HOU 25,20,31,Davis Mills pass complete short middle to Chris Moore for 7 yards (tackle by Divine Deablo and Trevon Moehrig),0.610,1.010
4,6:42,2,3,HOU 32,20,31,Dameon Pierce left tackle for 5 yards (tackle by Divine Deablo),1.010,1.400
4,6:22,1,10,HOU 37,20,31,Davis Mills pass incomplete short left,1.400,0.860
4,6:18,2,10,HOU 37,20,31,Davis Mills pass complete short left to Rex Burkhead for 1 yard (tackle by Duron Harmon),0.860,0.300
4,5:33,3,9,HOU 38,20,31,Davis Mills pass incomplete short middle intended for Jordan Akins (defended by Maxx Crosby),0.300,-0.850
4,5:28,4,9,HOU 38,20,31,Davis Mills pass complete short left to Jordan Akins for 10 yards (tackle by Rock Ya-Sin and Trevon Moehrig),-0.850,2.130
4,4:58,1,10,HOU 48,20,31,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Johnathan Abram),2.130,2.120
4,4:30,2,6,LVR 48,20,31,Rex Burkhead up the middle for 4 yards (tackle by Divine Deablo and Maxx Crosby),2.120,1.950
4,4:02,3,2,LVR 44,20,31,Rex Burkhead up the middle for 4 yards (tackle by Maxx Crosby),1.950,2.920
4,3:39,1,10,LVR 40,20,37,"Davis Mills pass short middle intended for Brevin Jordan is intercepted by Duron Harmon at LV-27 and returned for 73 yards, touchdown",2.920,-7.000
4,3:26,,,HOU 15,20,38,Daniel Carlson kicks extra point good,0.000,0.000
4,3:26,,,LVR 35,20,38,"Daniel Carlson kicks off 70 yards, returned by Tremon Smith for 25 yards (tackle by Brandon Bolden and Darien Butler)",0.000,0.280
4,3:19,1,10,HOU 20,20,38,Davis Mills pass complete short middle to Dare Ogunbowale for 9 yards (tackle by Johnathan Abram),0.280,0.950
4,2:57,2,1,HOU 29,20,38,Davis Mills pass incomplete short left intended for Dare Ogunbowale,0.950,0.230
4,2:53,3,1,HOU 29,20,38,Dare Ogunbowale left guard for 8 yards (tackle by Clelin Ferrell),0.230,1.400
4,2:25,1,10,HOU 37,20,38,Davis Mills pass complete short left to Dare Ogunbowale for 6 yards (tackle by Johnathan Abram),1.400,1.670
4,2:00,2,4,HOU 43,20,38,Davis Mills pass complete short left to Dare Ogunbowale for 9 yards (tackle by Johnathan Abram and Duron Harmon),1.670,2.390
4,1:40,,,,,,Timeout #1 by Houston Texans,,
4,1:40,1,10,LVR 48,20,38,Davis Mills pass complete short left to Dare Ogunbowale for 7 yards (tackle by Johnathan Abram),2.390,2.790
4,1:33,2,3,LVR 41,20,38,Davis Mills pass complete short middle to Dare Ogunbowale for 23 yards (tackle by Trevon Moehrig),2.790,4.370
4,1:25,1,10,LVR 18,20,38,Davis Mills pass incomplete deep left intended for Chris Moore,4.370,3.800
4,1:22,2,10,LVR 18,20,38,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Johnathan Abram),3.800,3.630
4,1:17,3,6,LVR 14,20,38,Davis Mills pass incomplete short right intended for Phillip Dorsett,3.630,2.530
4,1:11,4,6,LVR 14,20,38,Davis Mills pass incomplete short left intended for Dare Ogunbowale,2.530,0.280
4,1:07,1,10,LVR 14,20,38,Derek Carr kneels for no gain,-0.280,-0.820
4,0:38,2,11,LVR 14,20,38,Derek Carr kneels for -1 yards,-0.820,-1.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
