Quarter,Time,Tm,Detail,TAM,MIN
1.0,9:48,Buccaneers,Connor Barth 28 yard field goal,3,0
,3:34,Buccaneers,Erik Lorig 1 yard pass from Josh Freeman (Connor Barth kick),10,0
2.0,12:20,Buccaneers,Connor Barth 40 yard field goal,13,0
,9:39,Vikings,Percy Harvin 18 yard pass from Christian Ponder (Blair Walsh kick),13,7
,4:30,Buccaneers,Mike Williams 3 yard pass from Josh Freeman (Connor Barth kick),20,7
,1:40,Vikings,Blair Walsh 51 yard field goal,20,10
3.0,13:39,Buccaneers,Doug Martin 64 yard pass from Josh Freeman (Connor Barth kick),27,10
,7:50,Buccaneers,Connor Barth 38 yard field goal,30,10
,7:28,Vikings,Adrian Peterson 64 yard rush (Blair Walsh kick),30,17
4.0,7:03,Buccaneers,Doug Martin 1 yard rush (pass failed),36,17
