Unnamed: 0,TAM,MIN
First Downs,23,16
Rush-Yds-TDs,41-159-1,21-140-1
Cmp-Att-Yd-TD-INT,19-36-262-3-0,19-35-251-1-1
Sacked-Yards,1-5,3-22
Net Pass Yards,257,229
Total Yards,416,369
Fumbles-Lost,1-0,3-2
Turnovers,0,3
Penalties-Yards,4-49,5-32
Third Down Conv.,8-17,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,37:45,22:15
