Unnamed: 0,PIT,CIN
First Downs,24,14
Rush-Yds-TDs,30-105-2,26-109-0
Cmp-Att-Yd-TD-INT,21-33-245-1-1,15-30-170-2-2
Sacked-Yards,5-22,0-0
Net Pass Yards,223,170
Total Yards,328,279
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,4-31,4-35
Third Down Conv.,5-12,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:53,26:07
