Quarter,Time,Tm,Detail,PIT,CIN
1.0,9:15,Steelers,Jerricho Cotchery 16 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,0
,3:37,Steelers,Rashard Mendenhall 2 yard rush (Shaun Suisham kick),14,0
,0:14,Bengals,A.J. Green 36 yard pass from Andy Dalton (Mike Nugent kick),14,7
2.0,12:02,Bengals,Mike Nugent 43 yard field goal,14,10
,0:58,Steelers,Shaun Suisham 39 yard field goal,17,10
3.0,8:38,Bengals,Jermaine Gresham 1 yard pass from Andy Dalton (Mike Nugent kick),17,17
,1:55,Steelers,Rashard Mendenhall 9 yard rush (Shaun Suisham kick),24,17
