Unnamed: 0,IND,CHI
First Downs,22,26
Rush-Yds-TDs,15-63-1,33-114-3
Cmp-Att-Yd-TD-INT,23-45-309-1-3,21-35-333-2-1
Sacked-Yards,3-16,2-19
Net Pass Yards,293,314
Total Yards,356,428
Fumbles-Lost,2-2,0-0
Turnovers,5,1
Penalties-Yards,3-19,7-48
Third Down Conv.,2-10,4-12
Fourth Down Conv.,2-2,0-0
Time of Possession,24:32,35:28
