Quarter,Time,Tm,Detail,DET,CHI
2.0,14:56,Lions,Jason Hanson 26 yard field goal,3,0
,1:53,Lions,Kevin Jones 4 yard rush (Jason Hanson kick),10,0
,0:05,Lions,Jason Hanson 52 yard field goal,13,0
3.0,5:26,Bears,Greg Olsen 20 yard pass from Brian Griese (Robbie Gould kick),13,7
4.0,14:42,Lions,Jason Hanson 20 yard field goal,16,7
