Unnamed: 0,DET,CHI
First Downs,22,16
Rush-Yds-TDs,28-119-1,20-63-0
Cmp-Att-Yd-TD-INT,24-35-268-0-0,22-40-208-1-4
Sacked-Yards,4-22,2-16
Net Pass Yards,246,192
Total Yards,365,255
Fumbles-Lost,1-1,1-0
Turnovers,1,4
Penalties-Yards,5-32,7-78
Third Down Conv.,4-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,34:54,25:06
