Unnamed: 0,NYG,CIN
First Downs,19,11
Rush-Yds-TDs,42-142-1,15-40-0
Cmp-Att-Yd-TD-INT,22-38-244-0-0,17-29-136-1-1
Sacked-Yards,0-0,2-21
Net Pass Yards,244,115
Total Yards,386,155
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,5-51,3-27
Third Down Conv.,9-21,3-10
Fourth Down Conv.,3-3,1-1
Time of Possession,37:26,22:34
