Quarter,Time,Tm,Detail,NYG,CIN
1.0,10:01,Giants,Wayne Gallman 1 yard rush (Graham Gano kick),7,0
,9:50,Bengals,Brandon Wilson 103 yard kickoff return (Randy Bullock kick),7,7
2.0,3:32,Bengals,Randy Bullock 44 yard field goal,7,10
,0:21,Giants,Graham Gano 49 yard field goal,10,10
3.0,8:06,Giants,Graham Gano 40 yard field goal,13,10
4.0,11:35,Giants,Graham Gano 39 yard field goal,16,10
,3:54,Giants,Graham Gano 32 yard field goal,19,10
,2:33,Bengals,Tee Higgins 1 yard pass from Brandon Allen (Randy Bullock kick),19,17
