#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ARI 25,13,6:44,71,Interception
2,1,7:17,ARI 18,3,1:27,4,Punt
3,1,2:05,ARI 25,9,3:58,63,Field Goal
4,2,7:16,ARI 25,10,4:44,36,Punt
5,2,1:54,SFO 30,4,0:30,5,Field Goal
6,2,0:36,ARI 15,3,0:36,16,End of Half
7,3,10:34,ARI 25,7,3:44,43,Field Goal
8,3,2:22,ARI 25,5,2:33,16,Punt
9,4,13:49,ARI 36,11,6:08,50,Field Goal
10,4,5:46,ARI 32,3,1:32,4,Punt
11,4,3:44,ARI 45,3,1:19,-16,Punt
12,4,1:45,ARI 9,3,0:55,3,Punt
13,4,0:13,ARI 15,1,0:13,9,End of Half
14,5,2:24,ARI 25,7,1:52,75,Touchdown
