Unnamed: 0,SFO,ARI
First Downs,20,25
Rush-Yds-TDs,27-95-0,22-51-0
Cmp-Att-Yd-TD-INT,24-49-234-0-1,33-51-357-1-1
Sacked-Yards,3-24,6-40
Net Pass Yards,210,317
Total Yards,305,368
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,13-113,10-80
Third Down Conv.,5-19,5-16
Fourth Down Conv.,1-1,0-0
Time of Possession,33:13,36:15
