Quarter,Time,Tm,Detail,BAL,CIN
1.0,10:17,Bengals,Rex Burkhead 5 yard rush (Randy Bullock kick),0,7
,3:12,Ravens,Justin Tucker 30 yard field goal,3,7
,0:00,Bengals,C.J. Uzomah 1 yard pass from Andy Dalton (Randy Bullock kick),3,14
2.0,6:09,Bengals,Randy Bullock 23 yard field goal,3,17
,0:03,Bengals,Randy Bullock 24 yard field goal,3,20
4.0,8:37,Ravens,Kenneth Dixon 1 yard rush (Justin Tucker kick),10,20
,2:20,Bengals,Rex Burkhead 5 yard rush (Randy Bullock kick),10,27
