Unnamed: 0,BAL,CIN
First Downs,22,25
Rush-Yds-TDs,16-72-1,38-153-2
Cmp-Att-Yd-TD-INT,33-51-279-0-2,18-28-226-1-0
Sacked-Yards,3-16,1-8
Net Pass Yards,263,218
Total Yards,335,371
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,4-41,2-20
Third Down Conv.,8-16,1-8
Fourth Down Conv.,1-3,0-0
Time of Possession,29:18,30:42
