Quarter,Time,Down,ToGo,Location,SDG,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Philip Rivers pass incomplete short middle intended for Melvin Gordon,0.610,0.060
1,14:56,2,10,SDG 25,0,0,Melvin Gordon middle for no gain (tackle by Wes Horton and A.J. Klein),0.060,-0.620
1,14:13,3,10,SDG 25,0,0,Philip Rivers sacked by Kawann Short for -6 yards,-0.620,-2.140
1,13:41,4,16,SDG 19,0,0,"Drew Kaser punts 47 yards, returned by Ted Ginn for 14 yards (tackle by Joshua Perry)",-2.140,-2.130
1,13:29,1,10,CAR 48,0,0,Jonathan Stewart middle for 1 yard (tackle by Joey Bosa and Denzel Perryman),2.130,1.720
1,12:59,2,9,CAR 49,0,0,Cam Newton pass complete short right to Greg Olsen for 13 yards,1.720,3.050
1,12:25,1,10,SDG 38,0,0,Cam Newton pass incomplete deep right intended for Devin Funchess (defended by Jahleel Addae),3.050,2.510
1,12:19,2,10,SDG 38,0,0,Corey Brown left end for 9 yards (tackle by Denzel Perryman),2.510,3.010
1,11:41,3,1,SDG 29,0,0,Cam Newton middle for 4 yards (tackle by Tenny Palepoi),3.010,3.910
1,11:02,1,10,SDG 25,0,0,Jonathan Stewart middle for 2 yards (tackle by Melvin Ingram),3.910,3.630
1,10:33,2,8,SDG 23,0,0,Cam Newton pass incomplete short right intended for Ted Ginn,3.630,2.940
1,10:28,3,8,SDG 23,0,0,Cam Newton pass incomplete short right intended for Kelvin Benjamin (defended by Casey Hayward),2.940,1.930
1,10:24,4,8,SDG 23,0,3,Graham Gano 41 yard field goal good,1.930,3.000
1,10:19,,,CAR 35,0,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,10:19,1,10,SDG 25,0,3,Philip Rivers pass complete short right to Antonio Gates for 9 yards (tackle by A.J. Klein and Shaq Thompson),0.610,1.280
1,9:43,2,1,SDG 34,0,3,Melvin Gordon left guard for 1 yard (tackle by Daryl Worley),1.280,1.270
1,9:03,1,10,SDG 35,0,3,Philip Rivers pass complete short right to Dontrelle Inman for 9 yards (tackle by James Bradberry),1.270,1.940
1,8:26,2,1,SDG 44,0,3,Melvin Gordon left end for 4 yards (tackle by Daryl Worley),1.940,2.130
1,7:48,1,10,SDG 48,0,3,"Philip Rivers sacked by Kawann Short for -5 yards. Philip Rivers fumbles (forced by Kawann Short), recovered by Paul Soliai at SDG-47 (tackle by Orlando Franklin)",2.130,-2.460
1,7:38,1,10,SDG 47,0,3,Ted Ginn right end for -3 yards (tackle by Melvin Ingram),2.460,1.510
1,7:03,2,13,,0,3,Cam Newton pass incomplete deep right intended for Fozzy Whittaker,1.510,0.830
1,6:57,3,13,,0,3,Cam Newton middle for 7 yards (tackle by Jatavis Brown),0.830,0.400
1,6:21,4,6,SDG 43,0,3,"Michael Palardy punts 32 yards, fair catch by Isaiah Burse",0.400,0.370
1,6:13,1,10,SDG 11,0,3,Kenneth Farrow right end for -2 yards (tackle by A.J. Klein),-0.370,-0.930
1,5:32,2,12,SDG 9,0,3,Philip Rivers pass incomplete deep right intended for Hunter Henry. Penalty on King Dunlap: Offensive Holding (Declined),-0.930,-1.650
1,5:25,3,12,SDG 9,0,3,"Penalty on Orlando Franklin: False Start, 4 yards (no play)",-1.650,-2.120
1,5:25,3,16,SDG 5,0,3,Philip Rivers pass incomplete deep right intended for Travis Benjamin,-2.120,-2.490
1,5:19,4,16,SDG 5,0,3,Drew Kaser punts 30 yards,-2.490,-3.250
1,5:11,1,10,SDG 35,0,3,Jonathan Stewart middle for 3 yards (tackle by Jatavis Brown),3.250,3.110
1,4:37,2,7,SDG 32,0,3,Cam Newton pass complete short right to Greg Olsen for 17 yards (tackle by Jahleel Addae),3.110,4.580
1,4:04,1,10,SDG 15,0,3,Jonathan Stewart left guard for 6 yards (tackle by Jahleel Addae and Melvin Ingram),4.580,5.030
1,3:30,2,4,SDG 9,0,3,Jonathan Stewart left tackle for 1 yard (tackle by Korey Toomer and Kyle Emanuel),5.030,4.450
1,3:02,3,3,SDG 8,0,3,"Penalty on Joey Bosa: Neutral Zone Infraction, 4 yards (no play)",4.450,6.280
1,2:44,1,4,SDG 4,0,3,"Penalty on Mike Remmers: False Start, 5 yards (no play)",6.280,5.140
1,2:29,1,9,SDG 9,0,3,Cam Newton pass incomplete short middle intended for Devin Funchess (defended by Jahleel Addae),5.140,4.380
1,2:23,2,9,SDG 9,0,3,Cam Newton middle for 8 yards (tackle by Korey Toomer and Denzel Perryman),4.380,5.170
,,,,,,,"CAR challenged the runner was down by contact ruling, and the play was upheld.",,
1,1:52,3,1,SDG 1,0,9,"Jonathan Stewart right guard for 1 yard, touchdown",5.170,7.000
1,1:48,,,SDG 15,0,10,Graham Gano kicks extra point good,0.000,0.000
1,1:48,,,CAR 35,0,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,1:48,1,10,SDG 25,0,10,Kenneth Farrow right tackle for 9 yards (tackle by Kurt Coleman),0.610,1.280
1,1:21,2,1,SDG 34,0,10,Kenneth Farrow middle for 4 yards (tackle by Thomas Davis),1.280,1.470
1,0:36,1,10,SDG 38,0,10,Philip Rivers pass complete short right to Kenneth Farrow for 3 yards (tackle by Kurt Coleman),1.470,1.330
Quarter,Time,Down,ToGo,Location,SDG,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 41,0,10,Philip Rivers pass incomplete deep left intended for Tyrell Williams is intercepted by Daryl Worley at CAR-20 and returned for 22 yards,1.330,-1.730
2,14:45,1,10,CAR 42,0,10,Cam Newton pass incomplete short right intended for Jonathan Stewart,1.730,1.190
2,14:38,2,10,CAR 42,0,10,Cam Newton pass complete deep right to Devin Funchess for 27 yards (tackle by Trovon Reed),1.190,3.510
2,13:59,1,10,SDG 31,0,10,Ted Ginn left end for 8 yards (tackle by Dwight Lowery),3.510,4.050
2,13:27,2,2,SDG 23,0,10,Cam Newton left tackle for 2 yards (tackle by Joey Bosa and Kyle Emanuel),4.050,4.170
2,12:42,1,10,SDG 21,0,10,Cam Newton pass complete short left to Kelvin Benjamin for 11 yards (tackle by Tourek Williams),4.170,4.910
2,12:05,1,10,SDG 10,0,10,Cam Newton pass incomplete short left intended for Jonathan Stewart,4.910,4.190
2,12:00,2,10,SDG 10,0,10,Cam Newton left end for 4 yards (tackle by Tourek Williams),4.190,4.040
2,11:17,3,6,SDG 6,0,16,"Cam Newton pass complete short right to Devin Funchess for 6 yards, touchdown",4.040,7.000
2,11:12,,,SDG 15,0,17,Graham Gano kicks extra point good,0.000,0.000
