Quarter,Time,Tm,Detail,SFO,ARI
1,11:02,49ers,Jeff Garcia 21 yard rush (pass failed),6,0
,3:52,Cardinals,Jeff Blake 1 yard rush (Tim Duncan kick),6,7
2,0:28,Cardinals,Tim Duncan 53 yard field goal,6,10
3,7:53,Cardinals,Tim Duncan 20 yard field goal,6,13
4,7:12,49ers,Kwame Harris 1 yard offensive fumble return (Owen Pochman kick),13,13
OT,10:01,Cardinals,Tim Duncan 39 yard field goal,13,16
