Unnamed: 0,SFO,ARI
First Downs,15,18
Rush-Yds-TDs,27-106-1,44-221-1
Cmp-Att-Yd-TD-INT,15-28-155-0-0,14-25-97-0-1
Sacked-Yards,2-6,1-4
Net Pass Yards,149,93
Total Yards,255,314
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,6-36,6-55
Third Down Conv.,7-14,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,27:03,37:56
