Unnamed: 0,MIN,CAR
First Downs,14,27
Rush-Yds-TDs,18-82-1,39-111-2
Cmp-Att-Yd-TD-INT,16-32-190-1-0,21-31-341-3-0
Sacked-Yards,4-19,1-3
Net Pass Yards,171,338
Total Yards,253,449
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,10-60,6-53
Third Down Conv.,5-13,8-14
Fourth Down Conv.,1-2,0-0
Time of Possession,24:09,35:51
