Unnamed: 0,NOR,NYG
First Downs,22,6
Rush-Yds-TDs,53-236-2,18-83-0
Cmp-Att-Yd-TD-INT,13-32-132-1-0,9-25-74-1-1
Sacked-Yards,1-9,2-15
Net Pass Yards,123,59
Total Yards,359,142
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,2-15,7-67
Third Down Conv.,5-20,0-10
Fourth Down Conv.,4-6,0-1
Time of Possession,40:34,19:26
