Quarter,Time,Tm,Detail,GNB,NOR
1.0,9:19,Saints,Deuce McAllister 4 yard rush (John Carney kick),0,7
2.0,10:23,Packers,Ryan Longwell 27 yard field goal,3,7
,5:12,Saints,Jerome Pathon 5 yard pass from Aaron Brooks (John Carney kick),3,14
,2:03,Saints,Donte' Stallworth 34 yard pass from Aaron Brooks (John Carney kick),3,21
,0:40,Packers,Terry Glenn 14 yard pass from Brett Favre (Ryan Longwell kick),10,21
3.0,13:53,Saints,Keyuo Craver 38 yard defensive fumble return (John Carney kick),10,28
,0:31,Packers,Donald Driver 26 yard pass from Brett Favre (Ryan Longwell kick),17,28
4.0,4:31,Packers,Ryan Longwell 36 yard field goal,20,28
,2:00,Saints,Deuce McAllister 2 yard rush (John Carney kick),20,35
