Unnamed: 0,GNB,NOR
First Downs,18,16
Rush-Yds-TDs,21-95-0,28-146-2
Cmp-Att-Yd-TD-INT,29-44-270-2-1,16-28-217-2-2
Sacked-Yards,1-8,1-6
Net Pass Yards,262,211
Total Yards,357,357
Fumbles-Lost,3-3,2-0
Turnovers,4,2
Penalties-Yards,7-73,9-59
Third Down Conv.,3-13,7-12
Fourth Down Conv.,0-2,0-0
Time of Possession,30:26,29:34
