Unnamed: 0,MIN,DET
First Downs,16,28
Rush-Yds-TDs,22-105-2,34-112-2
Cmp-Att-Yd-TD-INT,18-28-236-1-3,28-43-357-2-1
Sacked-Yards,3-11,0-0
Net Pass Yards,225,357
Total Yards,330,469
Fumbles-Lost,1-1,3-1
Turnovers,4,2
Penalties-Yards,5-52,11-88
Third Down Conv.,2-10,5-13
Fourth Down Conv.,1-2,0-1
Time of Possession,23:41,36:19
