Quarter,Time,Tm,Detail,MIN,DET
1.0,10:39,Vikings,Adrian Peterson 78 yard rush (Blair Walsh kick),7,0
,4:55,Lions,David Akers 33 yard field goal,7,3
2.0,14:47,Lions,David Akers 42 yard field goal,7,6
,12:17,Vikings,Adrian Peterson 4 yard rush (Blair Walsh kick),14,6
,0:10,Lions,Joique Bell 2 yard rush (David Akers kick),14,13
3.0,10:19,Lions,Joique Bell 1 yard rush (David Akers kick),14,20
,6:42,Vikings,Blair Walsh 52 yard field goal,17,20
,5:45,Lions,Reggie Bush 77 yard pass from Matthew Stafford (David Akers kick),17,27
,1:37,Vikings,Adrian Peterson 4 yard pass from Christian Ponder (Blair Walsh kick),24,27
4.0,6:47,Lions,Joseph Fauria 1 yard pass from Matthew Stafford (David Akers kick),24,34
