Quarter,Time,Tm,Detail,PIT,CIN
1.0,4:36,Bengals,Tyler Boyd 2 yard pass from Andy Dalton (Randy Bullock kick),0,7
2.0,14:33,Steelers,James Conner 1 yard rush (Chris Boswell kick),7,7
,1:07,Steelers,James Conner 1 yard rush (Chris Boswell kick),14,7
,0:19,Bengals,Tyler Boyd 14 yard pass from Andy Dalton (Randy Bullock kick),14,14
3.0,6:53,Steelers,Chris Boswell 21 yard field goal,17,14
4.0,3:32,Steelers,Chris Boswell 24 yard field goal,20,14
,1:18,Bengals,Joe Mixon 4 yard rush (Randy Bullock kick),20,21
,0:10,Steelers,Antonio Brown 31 yard pass from Ben Roethlisberger (JuJu Smith-Schuster pass from Ben Roethlisberger),28,21
