Quarter,Time,Down,ToGo,Location,DEN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 62 yards, returned by Dante Hall for 3 yards, lateral to Marc Boerigter for 44 yards (tackle by Nick Ferguson)",0.000,2.590
1,14:50,1,10,DEN 45,0,0,Priest Holmes up the middle for 7 yards (tackle by Nick Ferguson),2.590,2.990
1,14:16,2,3,DEN 38,0,0,Priest Holmes right end for 2 yards (tackle by Darius Holland),2.990,2.540
1,13:36,3,1,DEN 36,0,0,Priest Holmes up the middle for -2 yards (tackle by Al Wilson),2.540,0.720
1,13:01,4,3,DEN 38,0,0,"Jason Baker punts 29 yards, fair catch by Deltha O'Neal",0.720,0.380
1,12:53,1,10,DEN 9,0,0,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by Jerome Woods),-0.380,0.140
1,12:13,2,1,DEN 18,0,0,Clinton Portis up the middle for 2 yards (tackle by John Browning),0.140,0.280
1,11:35,1,10,DEN 20,0,0,Jake Plummer pass complete to Ashley Lelie for 11 yards (tackle by Eric Warfield),0.280,1.000
1,10:54,1,10,DEN 31,0,0,Reuben Droughns left end for -1 yards (tackle by Shawn Barber),1.000,0.320
1,10:09,2,11,DEN 30,0,0,Clinton Portis left end for 5 yards (tackle by Shawn Barber),0.320,0.300
1,9:29,3,6,DEN 35,0,0,Jake Plummer pass incomplete,0.300,-1.040
1,9:21,4,6,DEN 35,0,0,"Micah Knorr punts 38 yards, returned by Dante Hall for 22 yards. Penalty on Darrius Johnson: Offensive Holding, 10 yards",-1.040,-0.870
1,9:09,1,10,KAN 29,0,0,"Priest Holmes left end for 15 yards (tackle by Sam Brandon). Penalty on Tony Richardson: Face Mask (15 Yards), 14 yards (no play)",0.870,-0.480
1,8:35,1,24,KAN 15,0,0,Johnnie Morton left end for 27 yards (tackle by Bertrand Berry),-0.480,1.730
1,8:11,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,1.730
1,8:11,1,10,KAN 42,0,0,Trent Green pass complete to Dante Hall for 9 yards (tackle by Ian Gold),1.730,2.400
1,7:32,2,1,DEN 49,0,0,Priest Holmes right end for -3 yards (tackle by John Mobley),2.400,1.290
1,6:50,3,4,KAN 48,0,0,Trent Green pass incomplete intended for Jason Dunn,1.290,-0.190
1,6:46,4,4,KAN 48,0,0,"Jason Baker punts 52 yards, touchback",-0.190,-0.280
1,6:37,1,10,DEN 20,0,0,Rod Smith pass complete to Clinton Portis for 72 yards (tackle by Greg Wesley),0.280,5.370
1,6:01,1,8,KAN 8,0,0,Clinton Portis up the middle for 2 yards (tackle by John Browning),5.370,4.950
1,5:23,2,6,KAN 6,6,0,"Jake Plummer pass complete to Dwayne Carswell for 6 yards, touchdown",4.950,7.000
1,,,,KAN 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Micah Knorr kicks off 66 yards, returned by Dante Hall for 17 yards (tackle by Nick Ferguson)",0.000,0.340
1,5:10,1,10,KAN 21,7,0,Trent Green pass complete to Dante Hall for 3 yards (tackle by Al Wilson),0.340,0.210
1,4:29,2,7,KAN 24,7,0,Trent Green pass incomplete intended for Jason Dunn,0.210,-0.490
1,4:25,3,7,KAN 24,7,0,Trent Green pass complete to Tony Gonzalez for 4 yards (tackle by Lenny Walls),-0.490,-1.500
1,4:15,4,3,KAN 28,7,0,"Jason Baker punts 51 yards, returned by Deltha O'Neal for 6 yards (tackle by Gary Stills). Deltha O'Neal fumbles, recovered by Gary Stills at DEN-25",-1.500,3.910
1,4:02,1,10,DEN 25,7,0,Trent Green pass incomplete intended for Eddie Kennison,3.910,3.360
1,3:56,2,10,DEN 25,7,0,Trent Green pass complete to Priest Holmes for 5 yards (tackle by John Mobley),3.360,3.340
1,3:15,3,5,DEN 20,7,6,"Trent Green pass complete to Tony Gonzalez for 20 yards, touchdown",3.340,7.000
1,,,,DEN 2,7,7,Morten Andersen kicks extra point good,0.000,0.000
1,,,,KAN 30,7,7,"Jason Baker kicks off 63 yards, returned by Chris Cole for 25 yards (tackle by Gary Stills)",0.000,1.070
1,3:02,1,10,DEN 32,7,7,Clinton Portis right tackle for 2 yards (tackle by Eric Downing),1.070,0.800
1,2:26,2,8,DEN 34,7,7,Jake Plummer pass complete to Clinton Portis for no gain,0.800,0.100
1,1:42,3,8,DEN 34,7,7,"Penalty on Ephraim Salaam: False Start, 5 yards (no play)",0.100,-0.560
1,1:16,3,13,DEN 29,7,7,Jake Plummer pass incomplete intended for Ed McCaffrey,-0.560,-1.440
