Quarter,Time,Tm,Detail,DEN,KAN
1.0,5:16,Broncos,Dwayne Carswell 6 yard pass from Jake Plummer (Jason Elam kick),7,0
,3:08,Chiefs,Tony Gonzalez 20 yard pass from Trent Green (Morten Andersen kick),7,7
2.0,12:28,Broncos,Jason Elam 48 yard field goal,10,7
,5:54,Chiefs,Morten Andersen 23 yard field goal,10,10
,0:05,Broncos,Jason Elam 29 yard field goal,13,10
3.0,13:30,Broncos,Clinton Portis 65 yard rush (Jason Elam kick),20,10
,10:49,Chiefs,Johnnie Morton 28 yard pass from Trent Green (Morten Andersen kick),20,17
4.0,13:42,Broncos,Jason Elam 21 yard field goal,23,17
,8:20,Chiefs,Dante Hall 93 yard punt return (Morten Andersen kick),23,24
