Unnamed: 0,DEN,KAN
First Downs,22,13
Rush-Yds-TDs,31-176-1,24-133-0
Cmp-Att-Yd-TD-INT,21-39-292-1-0,15-29-129-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,292,129
Total Yards,468,262
Fumbles-Lost,4-1,1-1
Turnovers,1,2
Penalties-Yards,7-59,7-47
Third Down Conv.,5-15,3-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:06,25:54
