Quarter,Time,Tm,Detail,KAN,DEN
1.0,7:56,Broncos,Javonte Williams 4 yard pass from Russell Wilson (Wil Lutz kick),0,7
,1:11,Chiefs,Harrison Butker 23 yard field goal,3,7
2.0,11:51,Broncos,Jerry Jeudy 11 yard pass from Russell Wilson (Wil Lutz kick),3,14
,5:39,Chiefs,Harrison Butker 34 yard field goal,6,14
,0:00,Chiefs,Harrison Butker 56 yard field goal,9,14
4.0,10:33,Broncos,Courtland Sutton 6 yard pass from Russell Wilson (Wil Lutz kick),9,21
,0:31,Broncos,Wil Lutz 28 yard field goal,9,24
