Unnamed: 0,KAN,DEN
First Downs,18,19
Rush-Yds-TDs,16-62-0,40-153-0
Cmp-Att-Yd-TD-INT,24-38-240-0-2,12-19-114-3-0
Sacked-Yards,3-28,6-27
Net Pass Yards,212,87
Total Yards,274,240
Fumbles-Lost,3-3,2-1
Turnovers,5,1
Penalties-Yards,5-38,6-35
Third Down Conv.,3-10,6-14
Fourth Down Conv.,1-3,0-1
Time of Possession,26:13,33:47
