Quarter,Time,Tm,Detail,DEN,KAN
1.0,14:47,Chiefs,Dante Hall 97 yard kickoff return (Lawrence Tynes kick),0,7
,4:49,Chiefs,Larry Johnson 5 yard rush (Lawrence Tynes kick),0,14
,0:02,Broncos,Rod Smith 22 yard pass from Jake Plummer (Jason Elam kick),7,14
2.0,9:36,Chiefs,Eddie Kennison 7 yard pass from Trent Green (Lawrence Tynes kick),7,21
,4:06,Chiefs,Larry Johnson 32 yard rush (Lawrence Tynes kick),7,28
,0:04,Broncos,Jason Elam 27 yard field goal,10,28
3.0,8:11,Chiefs,Samie Parker 48 yard pass from Trent Green (Lawrence Tynes kick),10,35
4.0,14:13,Chiefs,Eddie Kennison 18 yard pass from Trent Green (Lawrence Tynes kick),10,42
,5:31,Chiefs,Lawrence Tynes 39 yard field goal,10,45
,4:13,Broncos,Garrison Hearst 4 yard rush (Jason Elam kick),17,45
