Quarter,Time,Tm,Detail,DET,SDG
1.0,10:04,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),0,7
,3:06,Chargers,Nate Kaeding 22 yard field goal,0,10
,1:13,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),0,17
2.0,8:36,Chargers,Nate Kaeding 22 yard field goal,0,20
,8:23,Chargers,Shaun Phillips 18 yard interception return (Nate Kaeding kick),0,27
,2:50,Lions,Brandon Middleton 9 yard pass from Jon Kitna (Jason Hanson kick),7,27
,0:27,Chargers,Brandon Manumaleuna 1 yard pass from Philip Rivers (Nate Kaeding kick),7,34
3.0,8:35,Chargers,Darren Sproles 1 yard rush (Nate Kaeding kick),7,41
,5:52,Chargers,Nate Kaeding 45 yard field goal,7,44
,3:03,Lions,Shaun McDonald 17 yard pass from Jon Kitna (Jason Hanson kick),14,44
4.0,2:58,Chargers,Darren Sproles 11 yard rush (Nate Kaeding kick),14,51
