Unnamed: 0,DET,SDG
First Downs,19,26
Rush-Yds-TDs,9-26-0,53-274-4
Cmp-Att-Yd-TD-INT,26-47-302-2-5,14-22-142-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,302,142
Total Yards,328,416
Fumbles-Lost,1-1,0-0
Turnovers,6,0
Penalties-Yards,6-38,5-25
Third Down Conv.,4-9,11-18
Fourth Down Conv.,0-1,0-1
Time of Possession,18:28,41:32
