Quarter,Time,Tm,Detail,BAL,MIA
1,9:28,Ravens,Matt Stover 27 yard field goal,3,0
2,10:02,Ravens,Matt Stover 39 yard field goal,6,0
,3:17,Dolphins,Jay Feely 23 yard field goal,6,3
,0:47,Ravens,Derrick Mason 17 yard pass from Kyle Boller (Matt Stover kick),13,3
3,6:51,Dolphins,Samkon Gado 7 yard rush (Jay Feely kick),13,10
4,12:06,Dolphins,Jay Feely 22 yard field goal,13,13
,1:56,Dolphins,Jay Feely 29 yard field goal,13,16
,0:08,Ravens,Matt Stover 18 yard field goal,16,16
OT,8:14,Dolphins,Greg Camarillo 64 yard pass from Cleo Lemon,16,22
