Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,Jay Feely kicks off 30 yards,0.000,1.600
1,15:00,1,10,BAL 40,0,0,Willis McGahee left end for 8 yards (tackle by Michael Lehan and Donnie Spragan),1.600,2.130
1,14:24,2,2,BAL 48,0,0,Willis McGahee up the middle for 1 yard (tackle by Derrick Pope),2.130,1.550
1,13:46,3,1,BAL 49,0,0,Musa Smith up the middle for 4 yards (tackle by Jason Taylor),1.550,2.460
1,13:16,1,10,MIA 47,0,0,Willis McGahee left guard for 2 yards (tackle by Donnie Spragan),2.460,2.180
1,12:44,2,8,MIA 45,0,0,Willis McGahee left tackle for -1 yards (tackle by Derrick Pope),2.180,1.350
1,12:03,3,9,MIA 46,0,0,Kyle Boller pass complete deep middle to Yamon Figurs for 36 yards (tackle by Jason Allen),1.350,4.910
1,11:22,1,10,MIA 10,0,0,Willis McGahee up the middle for 4 yards (tackle by Lance Schulters and Steve Fifita),4.910,4.950
1,10:47,2,6,MIA 6,0,0,Willis McGahee left tackle for 3 yards (tackle by Lance Schulters),4.950,4.720
1,10:04,3,3,MIA 3,0,0,Kyle Boller sacked by Jason Taylor for -6 yards,4.720,2.830
1,9:32,4,9,MIA 9,3,0,Matt Stover 27 yard field goal good,2.830,3.000
1,,,,BAL 30,3,0,"Matt Stover kicks off 60 yards, returned by Ted Ginn Jr. for 18 yards (tackle by Justin Green)",0.000,0.810
1,9:23,1,10,MIA 28,3,0,"Cleo Lemon sacked for 0 yards. Penalty on Corey Ivy: Defensive Holding, 5 yards (no play)",0.810,1.140
1,9:08,1,10,MIA 33,3,0,Samkon Gado up the middle for 2 yards (tackle by Dwan Edwards),1.140,0.860
1,8:26,2,8,MIA 35,3,0,Cleo Lemon pass incomplete short right intended for Justin Peelle (defended by Ed Reed),0.860,0.170
1,8:22,3,8,MIA 35,3,0,Cleo Lemon left end for 8 yards (tackle by Ray Lewis),0.170,1.800
,,,,,,,"MIA challenged the pass completion ruling, and the original play was overturned.",,
1,7:21,1,10,MIA 43,3,0,Samkon Gado up the middle for 1 yard (tackle by Kelly Gregg and Ray Lewis),1.800,1.390
1,6:43,2,9,MIA 44,3,0,Cleo Lemon pass incomplete short right intended for David Martin (defended by Ray Lewis),1.390,0.690
1,6:36,3,9,MIA 44,3,0,"Cleo Lemon sacked by Ray Lewis for 0 yards. Cleo Lemon fumbles (forced by Ray Lewis), ball out of bounds at MIA-44",0.690,-0.460
1,6:08,4,9,MIA 44,3,0,"Brandon Fields punts 43 yards, returned by Yamon Figurs for 11 yards (tackle by Derek Hagan)",-0.460,-0.540
1,6:01,1,10,BAL 24,3,0,Willis McGahee up the middle for -2 yards (tackle by Michael Lehan),0.540,-0.270
1,5:25,2,12,BAL 22,3,0,Kyle Boller pass complete short middle to Willis McGahee for 2 yards (tackle by Donnie Spragan),-0.270,-0.690
1,4:46,3,10,BAL 24,3,0,Kyle Boller pass complete short middle to Devard Darling for 13 yards (tackle by Michael Lehan),-0.690,1.400
1,4:05,1,10,BAL 37,3,0,Kyle Boller pass incomplete deep right intended for Derrick Mason (defended by Will Allen),1.400,0.860
1,3:57,2,10,BAL 37,3,0,Willis McGahee for 7 yards,0.860,1.090
1,3:23,,,,3,0,Timeout #1 by Baltimore Ravens,0.000,1.090
1,3:23,3,3,BAL 44,3,0,Kyle Boller pass complete short middle to Musa Smith for 29 yards (tackle by Edmond Miles),1.090,3.780
1,2:40,1,10,MIA 27,3,0,Willis McGahee up the middle for 3 yards (tackle by Derreck Robinson),3.780,3.640
1,2:04,2,7,MIA 24,3,0,Kyle Boller sacked by Jason Taylor for -9 yards,3.640,1.750
1,1:25,3,16,MIA 33,3,0,Kyle Boller sacked by Rodrique Wright for -5 yards,1.750,0.720
1,0:56,4,21,MIA 38,3,0,"Sam Koch punts 38 yards, touchback",0.720,-0.280
1,0:46,1,10,MIA 20,3,0,Cleo Lemon pass complete short left to Marty Booker for 7 yards (tackle by Willie Gaston),0.280,0.680
1,0:09,2,3,MIA 27,3,0,Samkon Gado right tackle for no gain (tackle by Bart Scott),0.680,-0.030
Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,MIA 27,3,0,Cleo Lemon pass incomplete short middle intended for Lorenzo Booker,-0.030,-1.570
2,14:52,4,3,MIA 27,3,0,"Brandon Fields punts 41 yards. Penalty on Derek Hagan: Player Out of Bounds on Punt, 5 yards",-1.570,-1.400
2,14:44,1,10,BAL 37,3,0,Kyle Boller pass incomplete short right intended for Willis McGahee (defended by Jason Taylor),1.400,0.860
2,14:36,2,10,BAL 37,3,0,Willis McGahee up the middle for no gain (tackle by Rodrique Wright),0.860,0.170
2,13:58,3,10,BAL 37,3,0,Kyle Boller left tackle for 11 yards (tackle by Quentin Moses),0.170,2.130
2,13:14,1,10,BAL 48,3,0,Willis McGahee left tackle for 19 yards (tackle by Lance Schulters),2.130,3.380
