Unnamed: 0,BAL,MIA
First Downs,21,21
Rush-Yds-TDs,36-163-0,29-72-1
Cmp-Att-Yd-TD-INT,15-30-208-1-1,23-39-315-1-0
Sacked-Yards,4-26,5-27
Net Pass Yards,182,288
Total Yards,345,360
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,1-5,4-25
Third Down Conv.,9-18,10-19
Fourth Down Conv.,0-0,1-1
Time of Possession,31:13,35:33
