Unnamed: 0,PHI,CIN
First Downs,16,19
Rush-Yds-TDs,18-68-0,30-56-0
Cmp-Att-Yd-TD-INT,28-58-339-1-3,29-44-261-1-0
Sacked-Yards,2-16,8-35
Net Pass Yards,323,226
Total Yards,391,282
Fumbles-Lost,1-1,3-1
Turnovers,4,1
Penalties-Yards,8-60,4-35
Third Down Conv.,3-18,4-20
Fourth Down Conv.,1-1,0-1
Time of Possession,33:16,41:44
