Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
2,11:04,1,10,CIN 34,3,3,Ryan Fitzpatrick pass incomplete deep right intended for Chad Ochocinco (defended by Asante Samuel),1.200,0.660
2,10:58,2,10,CIN 34,3,3,Cedric Benson left tackle for 2 yards (tackle by Juqua Parker and Quintin Mikell),0.660,0.230
2,10:16,3,8,CIN 36,3,3,Ryan Fitzpatrick pass incomplete short middle intended for T.J. Houshmandzadeh (defended by Asante Samuel),0.230,-0.980
2,10:10,4,8,CIN 36,3,3,Kyle Larson punts 37 yards (tackle by Brandon Johnson),-0.980,-1.070
2,10:02,1,10,PHI 32,3,3,Donovan McNabb pass incomplete deep middle intended for Kevin Curtis (defended by Leon Hall),1.070,0.530
2,9:53,2,10,PHI 32,3,3,DeSean Jackson right end for -1 yards (tackle by Chris Crocker),0.530,-0.290
2,9:08,,,,3,3,Timeout #1 by Philadelphia Eagles,0.000,-0.290
2,9:08,3,11,PHI 31,3,3,Donovan McNabb pass complete deep right to DeSean Jackson for 17 yards (tackle by Marvin White),-0.290,2.130
2,8:30,1,10,PHI 48,3,3,Donovan McNabb pass complete short right to Brent Celek for 9 yards (tackle by Johnathan Joseph),2.130,2.800
2,7:52,2,1,CIN 43,3,3,Donovan McNabb pass incomplete short right intended for Brian Westbrook,2.800,2.080
2,7:42,3,1,CIN 43,3,3,Donovan McNabb pass incomplete short right intended for Reggie Brown,2.080,0.400
2,7:37,4,1,CIN 43,3,3,"Saverio Rocca punts 23 yards, fair catch by Antonio Chatman",0.400,-0.280
2,7:30,1,10,CIN 20,3,3,Cedric Benson right tackle for no gain (tackle by Stewart Bradley),0.280,-0.270
2,6:46,2,10,CIN 20,3,3,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 13 yards (tackle by Stewart Bradley),-0.270,1.140
2,5:58,1,10,CIN 33,3,3,Cedric Benson up the middle for 3 yards (tackle by Brodrick Bunkley and Victor Abiamiri),1.140,1.000
2,5:19,2,7,CIN 36,3,3,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 11 yards (tackle by Joselio Hanson),1.000,2.060
2,4:44,1,10,CIN 47,3,3,Cedric Benson left tackle for 2 yards (tackle by Brodrick Bunkley and Trent Cole),2.060,1.790
2,4:00,2,8,CIN 49,3,3,Ryan Fitzpatrick sacked by Trent Cole for -8 yards,1.790,0.040
2,3:22,3,16,CIN 41,3,3,"Ryan Fitzpatrick pass complete short right to Antonio Chatman for 11 yards (tackle by Stewart Bradley). Antonio Chatman fumbles (forced by Stewart Bradley), recovered by Darren Howard at PHI-45 (tackle by Andrew Whitworth)",0.040,-1.800
2,3:11,1,10,PHI 43,3,3,Donovan McNabb pass incomplete short right intended for Jason Avant (defended by Jamar Fletcher),1.800,1.250
2,3:07,2,10,PHI 43,3,3,Donovan McNabb pass complete short right to DeSean Jackson for 12 yards (tackle by Johnathan Joseph),1.250,2.590
2,2:32,1,10,CIN 45,3,3,Donovan McNabb pass complete short middle to Brian Westbrook for 5 yards (tackle by Dhani Jones),2.590,2.720
2,2:00,2,5,CIN 40,3,3,Donovan McNabb pass incomplete short right intended for L.J. Smith,2.720,2.010
2,1:53,3,5,CIN 40,3,3,Donovan McNabb pass complete short middle to Jason Avant for 18 yards (tackle by Darryl Blackstock),2.010,4.110
2,1:26,1,10,CIN 22,3,3,Donovan McNabb pass incomplete short middle intended for L.J. Smith is intercepted by Brandon Johnson at CIN-16 and returned for 35 yards (tackle by Donovan McNabb),4.110,-2.320
2,1:16,1,10,PHI 49,3,3,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 7 yards (tackle by Asante Samuel),2.320,2.730
2,0:48,2,3,PHI 42,3,3,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 4 yards,2.730,3.050
2,0:44,1,10,PHI 38,3,3,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 12 yards (tackle by Brian Dawkins),3.050,3.840
2,0:39,,,,3,3,Timeout #1 by Cincinnati Bengals,0.000,3.840
2,0:39,1,10,PHI 26,3,9,"Ryan Fitzpatrick pass complete deep middle to T.J. Houshmandzadeh for 26 yards, touchdown",3.840,7.000
2,,,,PHI 2,3,10,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,3,10,Shayne Graham kicks off 65 yards,0.000,1.600
2,0:33,1,10,PHI 40,3,10,Donovan McNabb pass complete short middle to Brian Westbrook for 1 yard (tackle by Brandon Johnson),1.600,1.190
2,0:26,,,,3,10,Timeout #2 by Philadelphia Eagles,0.000,1.190
2,0:26,2,9,PHI 41,3,10,Donovan McNabb pass complete deep right to DeSean Jackson for 25 yards,1.190,3.310
2,0:20,1,10,CIN 34,3,10,Donovan McNabb pass incomplete deep middle intended for Kevin Curtis is intercepted by Johnathan Joseph at CIN-12 and returned for 22 yards (tackle by DeSean Jackson),3.310,-1.200
2,0:09,1,10,CIN 34,3,10,Ryan Fitzpatrick kneels for -1 yards,1.200,0.520
Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,3,10,"Shayne Graham kicks off 65 yards, muffed by Quintin Demps, recovered by Quintin Demps at PHI-10, and returned for 2 yards",0.000,-0.350
3,14:52,1,10,PHI 12,3,10,Donovan McNabb pass complete short left to Kevin Curtis for 4 yards (tackle by Leon Hall),-0.350,-0.370
3,14:16,2,6,PHI 16,3,10,Brian Westbrook right end for 5 yards (tackle by Brandon Johnson),-0.370,-0.370
3,13:35,3,1,PHI 21,3,10,Donovan McNabb pass incomplete short middle intended for Brent Celek (defended by Domata Peko),-0.370,-1.960
3,13:30,4,1,PHI 21,3,10,"Saverio Rocca punts 36 yards, returned by T.J. Houshmandzadeh for 15 yards (tackle by Quintin Demps)",-1.960,-2.790
3,13:16,1,10,PHI 42,3,10,Ryan Fitzpatrick pass complete short middle to Reggie Kelly for 3 yards (tackle by Sheldon Brown),2.790,2.650
3,12:43,2,7,PHI 39,3,10,Cedric Benson right guard for 13 yards (tackle by Asante Samuel),2.650,3.840
3,12:13,1,10,PHI 26,3,10,Cedric Benson up the middle for 2 yards (tackle by Omar Gaither),3.840,3.570
3,11:31,2,8,PHI 24,3,10,Cedric Benson right tackle for -1 yards (tackle by Chris Gocong and Juqua Parker),3.570,2.740
3,10:48,3,9,PHI 25,3,10,"Ryan Fitzpatrick pass complete short left to Ben Utecht for 2 yards (tackle by Lito Sheppard). Ben Utecht fumbles (forced by Lito Sheppard), ball out of bounds at PHI-19",2.740,1.930
3,10:29,4,7,PHI 23,3,13,Shayne Graham 41 yard field goal good,1.930,3.000
3,,,,CIN 30,3,13,"Shayne Graham kicks off 58 yards, returned by Quintin Demps for 27 yards (tackle by Jamar Fletcher)",0.000,1.530
3,10:17,1,10,PHI 39,3,13,Donovan McNabb pass complete deep middle to Hank Baskett for 57 yards (tackle by Chris Crocker),1.530,6.280
3,9:35,1,4,CIN 4,9,13,"Donovan McNabb pass complete short middle to L.J. Smith for 4 yards, touchdown",6.280,7.000
3,,,,CIN 2,10,13,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,10,13,"David Akers kicks off 76 yards, touchback",0.000,0.280
3,9:29,1,10,CIN 20,10,13,Cedric Benson left tackle for 2 yards (tackle by Stewart Bradley),0.280,0.000
3,8:52,2,8,CIN 22,10,13,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 7 yards (tackle by Chris Gocong),0.000,0.230
3,8:16,3,1,CIN 29,10,13,Cedric Benson left end for -3 yards (tackle by Trent Cole and Quintin Mikell),0.230,-1.630
3,7:42,4,4,CIN 26,10,13,"Kyle Larson punts 44 yards, returned by DeSean Jackson for 3 yards (tackle by Corey Mays)",-1.630,-1.140
3,7:32,1,10,PHI 33,10,13,Donovan McNabb pass incomplete short middle intended for L.J. Smith,1.140,0.590
3,7:28,2,10,PHI 33,10,13,Brian Westbrook right tackle for 1 yard (tackle by Frostee Rucker),0.590,0.040
3,6:46,3,9,PHI 34,10,13,Donovan McNabb pass complete short middle to Brent Celek for 11 yards (tackle by Leon Hall),0.040,1.930
3,6:05,1,10,PHI 45,10,13,Brian Westbrook right guard for 6 yards (tackle by Rashad Jeanty),1.930,2.190
3,5:27,2,4,CIN 49,10,13,Donovan McNabb pass complete short right to Kevin Curtis for 8 yards (tackle by Leon Hall),2.190,2.850
3,4:48,1,10,CIN 41,10,13,Donovan McNabb pass complete short middle to Brian Westbrook for 5 yards (tackle by Dhani Jones),2.850,2.980
3,4:03,2,5,CIN 36,10,13,Donovan McNabb pass incomplete short left intended for Hank Baskett,2.980,2.280
3,3:57,3,5,CIN 36,10,13,Donovan McNabb pass incomplete short middle intended for L.J. Smith is intercepted by Chris Crocker at CIN-22 and returned for 22 yards (tackle by Donovan McNabb),2.280,-1.860
3,3:43,1,10,CIN 44,10,13,"Ryan Fitzpatrick for no gain. Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at CIN-CIN",1.860,0.370
3,3:06,2,17,CIN 37,10,13,Ryan Fitzpatrick pass complete short middle to Reggie Kelly for 14 yards (tackle by Brodrick Bunkley),0.370,1.550
3,2:24,3,3,PHI 49,10,13,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 22 yards (tackle by Omar Gaither),1.550,3.780
3,1:47,1,10,PHI 27,10,13,Cedric Benson right guard for 1 yard (tackle by Juqua Parker),3.780,3.370
3,1:05,2,9,PHI 26,10,13,Ryan Fitzpatrick pass incomplete short middle intended for Ben Utecht,3.370,2.680
3,1:00,3,9,PHI 26,10,13,Ryan Fitzpatrick sacked by Sheldon Brown for -7 yards,2.680,1.150
3,0:18,4,16,PHI 33,10,13,Ryan Fitzpatrick left end for 5 yards (tackle by Sheldon Brown),1.150,-0.870
3,0:10,1,10,PHI 29,10,13,Donovan McNabb pass incomplete short right intended for Reggie Brown (defended by Johnathan Joseph),0.870,0.330
3,0:05,2,10,PHI 29,10,13,Brian Westbrook right guard for 22 yards (tackle by Johnathan Joseph),0.330,2.320
Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 49,10,13,Correll Buckhalter right tackle for 3 yards (tackle by Domata Peko and Rashad Jeanty),2.320,2.190
4,14:23,2,7,CIN 46,10,13,Donovan McNabb pass incomplete deep left intended for DeSean Jackson (defended by Leon Hall),2.190,1.490
4,14:16,3,7,CIN 46,10,13,Donovan McNabb sacked by Chris Crocker for -7 yards,1.490,-0.260
4,13:52,4,14,PHI 47,10,13,"Saverio Rocca punts 53 yards, touchback",-0.260,-0.280
4,13:42,1,10,CIN 20,10,13,Ryan Fitzpatrick pass complete short right to Cedric Benson for 18 yards (tackle by Stewart Bradley),0.280,1.470
4,13:16,1,10,CIN 38,10,13,Cedric Benson up the middle for 4 yards (tackle by Trevor Laws and Mike Patterson),1.470,1.460
4,12:40,2,6,CIN 42,10,13,Cedric Benson right tackle for 3 yards (tackle by Trent Cole),1.460,1.160
4,11:57,3,3,CIN 45,10,13,Ryan Fitzpatrick sacked by Chris Clemons for -4 yards,1.160,-0.650
4,11:28,4,7,CIN 41,10,13,Kyle Larson punts 36 yards,-0.650,-0.480
4,11:20,1,10,PHI 23,10,13,Donovan McNabb pass complete deep middle to Hank Baskett for 17 yards (tackle by Jamar Fletcher),0.480,1.600
4,10:46,1,10,PHI 40,10,13,Donovan McNabb pass incomplete short left intended for Brian Westbrook,1.600,1.050
4,10:42,2,10,PHI 40,10,13,Donovan McNabb pass complete short right to DeSean Jackson for 12 yards (tackle by Johnathan Joseph),1.050,2.390
4,10:10,1,10,CIN 48,10,13,Donovan McNabb pass complete short left to Jason Avant for 9 yards (tackle by Frostee Rucker),2.390,3.060
4,9:32,2,1,CIN 39,10,13,Brian Westbrook up the middle for 10 yards (tackle by Marvin White),3.060,3.640
4,8:53,1,10,CIN 29,10,13,Brian Westbrook right tackle for no gain (tackle by Jonathan Fanene),3.640,3.100
4,8:12,2,10,CIN 29,10,13,Donovan McNabb pass incomplete short middle intended for Kevin Curtis,3.100,2.410
4,8:06,3,10,CIN 29,10,13,Donovan McNabb pass complete short left to Kevin Curtis for 9 yards (tackle by Leon Hall),2.410,2.270
4,7:38,4,1,CIN 20,10,13,Donovan McNabb right guard for 2 yards (tackle by Robert Geathers),2.270,4.370
4,7:00,1,10,CIN 18,10,13,Donovan McNabb pass incomplete deep middle intended for Dan Klecko,4.370,3.800
4,6:53,2,10,CIN 18,10,13,DeSean Jackson right end for 4 yards (tackle by Robert Geathers),3.800,3.630
4,6:08,3,6,CIN 14,10,13,Donovan McNabb pass complete short middle to Brent Celek for 5 yards (tackle by Dhani Jones),3.630,2.980
4,5:22,,,,10,13,Timeout #1 by Philadelphia Eagles,0.000,2.980
4,5:22,4,1,CIN 9,13,13,David Akers 27 yard field goal good,2.980,3.000
4,,,,PHI 30,13,13,"David Akers kicks off 64 yards, returned by Glenn Holt for 25 yards (tackle by Quintin Mikell)",0.000,1.000
4,5:12,1,10,CIN 31,13,13,Cedric Benson right tackle for -2 yards (tackle by Omar Gaither and Juqua Parker),1.000,0.190
4,4:30,2,12,CIN 29,13,13,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 7 yards (tackle by Lito Sheppard),0.190,0.430
4,3:49,3,5,CIN 36,13,13,Ryan Fitzpatrick up the middle for 4 yards (tackle by Darren Howard and Chris Clemons),0.430,-0.720
4,2:59,4,1,CIN 40,13,13,"Penalty on Kyle Larson: Delay of Game, 5 yards (no play)",-0.720,-1.040
4,2:57,4,6,CIN 35,13,13,"Kyle Larson punts 40 yards, returned by DeSean Jackson for 15 yards (tackle by Kyries Hebert)",-1.040,-1.600
4,2:44,1,10,PHI 40,13,13,Donovan McNabb pass complete short right to Kevin Curtis for 6 yards (tackle by Johnathan Joseph),1.600,1.860
4,2:10,2,4,PHI 46,13,13,Brian Westbrook right tackle for 3 yards (tackle by Dhani Jones),1.860,1.550
4,2:00,3,1,PHI 49,13,13,Donovan McNabb pass incomplete short middle intended for Kevin Curtis (defended by Robert Geathers),1.550,-0.130
4,1:56,4,1,PHI 49,13,13,Saverio Rocca punts 17 yards,-0.130,-1.200
4,1:48,1,10,CIN 34,13,13,Ryan Fitzpatrick pass incomplete short left intended for Chad Ochocinco,1.200,0.660
4,1:44,2,10,CIN 34,13,13,Ryan Fitzpatrick pass incomplete short right intended for Chris Henry (defended by Asante Samuel),0.660,-0.030
4,1:39,3,10,CIN 34,13,13,Ryan Fitzpatrick pass incomplete short middle intended for Chris Henry (defended by Quintin Mikell),-0.030,-1.110
4,1:32,4,10,CIN 34,13,13,"Kyle Larson punts 37 yards, fair catch by DeSean Jackson",-1.110,-0.870
4,1:25,1,10,PHI 29,13,13,Donovan McNabb pass incomplete short right intended for DeSean Jackson,0.870,0.330
4,1:19,2,10,PHI 29,13,13,Donovan McNabb pass incomplete short right intended for Brian Westbrook,0.330,-0.360
4,1:12,3,10,PHI 29,13,13,Donovan McNabb pass incomplete deep middle intended for Brian Westbrook (defended by Dhani Jones),-0.360,-1.440
4,1:03,4,10,PHI 29,13,13,Saverio Rocca punts 31 yards,-1.440,-1.600
4,0:56,1,10,CIN 40,13,13,Ryan Fitzpatrick pass complete short left to Chris Henry for 8 yards (tackle by Lito Sheppard),1.600,2.130
4,0:36,2,2,CIN 48,13,13,Ryan Fitzpatrick pass incomplete short left intended for Chris Perry,2.130,1.420
4,0:30,3,2,CIN 48,13,13,Ryan Fitzpatrick sacked by Darren Howard for -3 yards,1.420,-0.390
4,0:20,,,,13,13,Timeout #2 by Philadelphia Eagles,0.000,-0.390
4,0:20,4,5,CIN 45,13,13,"Kyle Larson punts 38 yards, returned by DeSean Jackson for 16 yards (tackle by David Jones)",-0.390,-1.140
4,0:08,1,10,PHI 33,13,13,Brian Westbrook up the middle for 11 yards (tackle by Leon Hall). Penalty on Jason Avant: Offensive Holding (no play),1.140,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
,,,,,,,"Eagles won the coin toss, Eagles to receive the overtime kickoff.",,
OT,,,,CIN 30,13,13,"Shayne Graham kicks off 67 yards, returned by Quintin Demps for 20 yards (tackle by Abdul Hodge)",0.000,0.480
OT,14:56,1,10,PHI 23,13,13,Donovan McNabb pass complete short left to Kevin Curtis for 14 yards (tackle by Leon Hall),0.480,1.400
OT,14:33,1,10,PHI 37,13,13,Brian Westbrook up the middle for 3 yards (tackle by Pat Sims),1.400,1.260
OT,13:57,2,7,PHI 40,13,13,Brian Westbrook left end for -3 yards (tackle by Brandon Johnson),1.260,0.170
OT,13:11,3,10,PHI 37,13,13,Donovan McNabb pass complete short right to Jason Avant for 5 yards (tackle by Jamar Fletcher),0.170,-0.590
OT,12:39,4,5,PHI 42,13,13,"Saverio Rocca punts 37 yards, returned by T.J. Houshmandzadeh for 22 yards (tackle by Sean Considine). Penalty on Daniel Coats: Offensive Holding, 10 yards",-0.590,-0.480
OT,12:27,1,10,CIN 23,13,13,Cedric Benson left tackle for 2 yards (tackle by Omar Gaither),0.480,0.200
OT,11:47,2,8,CIN 25,13,13,Cedric Benson left guard for 4 yards (tackle by Stewart Bradley),0.200,0.040
OT,11:10,3,4,CIN 29,13,13,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 10 yards (tackle by Joselio Hanson),0.040,1.530
OT,10:33,1,10,CIN 39,13,13,Ryan Fitzpatrick pass incomplete short middle intended for Daniel Coats,1.530,0.990
OT,10:26,2,10,CIN 39,13,13,Ryan Fitzpatrick pass complete short middle to Chad Ochocinco for 11 yards (tackle by Joselio Hanson),0.990,2.260
OT,9:46,1,10,,13,13,Ryan Fitzpatrick pass complete short middle to Cedric Benson for no gain,2.260,1.710
OT,9:03,2,10,,13,13,Cedric Benson left end for 3 yards (tackle by Quintin Mikell and Darren Howard),1.710,1.420
OT,8:17,3,7,PHI 47,13,13,Chris Perry right tackle for no gain (tackle by Trent Cole and Victor Abiamiri),1.420,0.130
OT,7:37,4,7,PHI 47,13,13,Kyle Larson punts 38 yards (tackle by Corey Mays),0.130,0.350
OT,7:27,1,10,PHI 12,13,13,Donovan McNabb pass complete short right to Dan Klecko for 8 yards (tackle by Brandon Johnson),-0.350,0.290
OT,6:51,2,2,PHI 20,13,13,Brian Westbrook up the middle for 7 yards (tackle by Pat Sims),0.290,0.740
OT,6:14,1,10,PHI 27,13,13,"Penalty on Dan Klecko: False Start, 5 yards (no play)",0.740,0.410
OT,5:52,1,15,PHI 22,13,13,"Donovan McNabb pass complete deep left to Kevin Curtis for 16 yards. Penalty on Kevin Curtis: Offensive Pass Interference, 10 yards (no play)",0.410,-0.810
OT,5:16,1,25,PHI 12,13,13,Donovan McNabb pass complete short left to Kevin Curtis for 14 yards (tackle by Marvin White),-0.810,0.060
OT,4:32,2,11,PHI 26,13,13,"Penalty on Donovan McNabb: Delay of Game, 5 yards (no play)",0.060,-0.610
OT,4:32,2,16,PHI 21,13,13,Donovan McNabb pass incomplete deep middle intended for DeSean Jackson (defended by Johnathan Joseph),-0.610,-1.290
OT,4:26,3,16,PHI 21,13,13,Donovan McNabb pass incomplete deep left intended for DeSean Jackson,-1.290,-1.960
OT,4:18,4,16,PHI 21,13,13,Saverio Rocca punts 34 yards,-1.960,-1.930
OT,4:12,1,10,CIN 45,13,13,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 2 yards (tackle by Lito Sheppard),1.930,1.650
OT,3:36,2,8,CIN 47,13,13,Ryan Fitzpatrick pass complete short middle to Reggie Kelly for 7 yards (tackle by Omar Gaither),1.650,1.880
OT,2:57,3,1,PHI 46,13,13,Ryan Fitzpatrick left guard for 1 yard (tackle by Trent Cole and Brodrick Bunkley),1.880,2.590
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
OT,2:18,,,,13,13,Timeout #1 by Philadelphia Eagles,0.000,2.590
OT,2:18,1,10,PHI 45,13,13,Ryan Fitzpatrick pass complete short middle to Cedric Benson for -1 yards (tackle by Darren Howard),2.590,1.910
OT,2:08,,,,13,13,Timeout #2 by Philadelphia Eagles,0.000,1.910
OT,2:08,2,11,PHI 46,13,13,Ryan Fitzpatrick pass incomplete short middle intended for Chad Ochocinco (defended by Asante Samuel),1.910,1.220
OT,2:05,3,11,PHI 46,13,13,Ryan Fitzpatrick sacked by Darren Howard for -1 yards,1.220,0.130
OT,1:59,4,12,PHI 47,13,13,"Kyle Larson punts 35 yards, returned by DeSean Jackson for 1 yard (tackle by Kyries Hebert)",0.130,0.320
