#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,GNB 33,3,1:42,-3,Punt
2,1,8:50,SEA 35,4,2:16,35,Touchdown
3,1,5:05,GNB 24,4,1:25,-1,Punt
4,1,2:38,GNB 27,5,2:15,73,Touchdown
5,2,12:03,GNB 20,3,0:58,5,Punt
6,2,7:12,GNB 33,4,1:36,67,Touchdown
7,2,4:37,GNB 20,10,4:37,69,Field Goal
8,3,14:07,SEA 47,7,3:54,47,Touchdown
9,3,9:19,GNB 38,6,3:52,62,Touchdown
10,3,0:28,GNB 29,9,4:40,37,Field Goal
11,4,8:58,GNB 49,4,2:19,51,Touchdown
12,4,4:15,GNB 20,3,1:49,8,Punt
13,4,0:51,GNB 27,2,0:51,-2,End of Game
