Unnamed: 0,SEA,GNB
First Downs,17,20
Rush-Yds-TDs,29-115-0,32-153-5
Cmp-Att-Yd-TD-INT,19-37-198-1-4,16-29-273-1-0
Sacked-Yards,3-22,1-9
Net Pass Yards,176,264
Total Yards,291,417
Fumbles-Lost,0-0,1-0
Turnovers,4,0
Penalties-Yards,8-86,5-50
Third Down Conv.,6-17,8-14
Fourth Down Conv.,0-2,0-0
Time of Possession,27:46,32:14
