Quarter,Time,Tm,Detail,SEA,GNB
1.0,6:34,Packers,Brandon Jackson 13 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,0:23,Packers,Ryan Grant 3 yard rush (Mason Crosby kick),0,14
2.0,7:12,Seahawks,Olindo Mare 28 yard field goal,3,14
,5:36,Packers,Ryan Grant 56 yard rush (Mason Crosby kick),3,21
,0:00,Packers,Mason Crosby 29 yard field goal,3,24
3.0,10:13,Packers,Brandon Jackson 6 yard rush (Mason Crosby kick),3,31
,5:27,Packers,Brandon Jackson 4 yard rush (Mason Crosby kick),3,38
4.0,10:48,Packers,Mason Crosby 52 yard field goal,3,41
,6:39,Packers,Ahman Green 6 yard rush (Mason Crosby kick),3,48
,4:15,Seahawks,John Carlson 16 yard pass from Matt Hasselbeck (Olindo Mare kick),10,48
