Unnamed: 0,NWE,DET
First Downs,23,14
Rush-Yds-TDs,38-139-1,15-82-0
Cmp-Att-Yd-TD-INT,18-30-210-0-1,22-44-210-0-3
Sacked-Yards,0-0,0-0
Net Pass Yards,210,210
Total Yards,349,292
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,9-55,8-60
Third Down Conv.,9-15,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,35:00,25:00
