Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 69 yards, returned by Deion Branch for 24 yards (tackle by Eddie Drummond)",0.000,0.610
1,14:54,1,10,NWE 25,0,0,Tom Brady pass complete to Troy Brown for 7 yards (tackle by Todd Lyght),0.610,1.010
1,14:15,2,3,NWE 32,0,0,Antowain Smith left end for 2 yards (tackle by Luther Elliss),1.010,0.560
1,13:42,3,1,NWE 34,0,0,Antowain Smith left end for 2 yards (tackle by James Hall),0.560,1.330
1,13:08,1,10,NWE 36,0,0,Tom Brady pass complete to David Patten for 28 yards (tackle by Eric Davis),1.330,3.180
1,12:34,1,10,DET 36,0,0,Tom Brady pass complete to Troy Brown for 2 yards (tackle by Luther Elliss),3.180,2.910
1,11:56,2,8,DET 34,0,0,Marc Edwards middle for 17 yards (tackle by Todd Lyght),2.910,4.440
1,11:23,1,10,DET 17,0,0,Antowain Smith left end for 5 yards (tackle by Chris Cash),4.440,4.690
1,10:51,2,5,DET 12,0,0,Antowain Smith middle for -1 yards (tackle by Shaun Rogers),4.690,3.680
1,10:14,3,6,DET 13,0,0,Tom Brady pass incomplete intended for Deion Branch (defended by Todd Lyght),3.680,2.590
1,10:09,4,6,DET 13,3,0,Adam Vinatieri 31 yard field goal good,2.590,3.000
1,10:09,,,NWE 30,3,0,"Adam Vinatieri kicks off 59 yards, returned by Eddie Drummond for 12 yards (tackle by Jarvis Green)",0.000,0.480
1,10:01,1,10,DET 23,3,0,Joey Harrington pass incomplete intended for Mikhael Ricks (defended by Ted Johnson),0.480,-0.070
1,9:56,2,10,DET 23,9,0,"Joey Harrington pass incomplete intended for Larry Foster is intercepted by Tedy Bruschi at DET-27 and returned for 27 yards, touchdown",-0.070,-7.000
1,9:44,,,DET 23,10,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,9:44,,,NWE 30,10,0,"Adam Vinatieri kicks off 58 yards, returned by Eddie Drummond for 7 yards (tackle by Mike Vrabel)",0.000,0.150
1,9:41,1,10,DET 19,10,0,James Stewart right tackle for 1 yard (tackle by Mike Vrabel and Roman Phifer),0.150,-0.200
1,9:03,2,9,DET 20,10,0,Joey Harrington pass complete to Germane Crowell for 3 yards (tackle by Ted Johnson),-0.200,-0.550
1,8:23,3,6,DET 23,10,0,"Penalty on Jeff Backus: False Start, 5 yards (no play)",-0.550,-1.250
1,7:59,3,11,DET 18,10,0,Joey Harrington pass complete to James Stewart for 5 yards (tackle by Otis Smith),-1.250,-1.830
1,7:46,4,6,DET 23,10,0,"John Jett punts 40 yards, returned by Troy Brown for 10 yards. Penalty on Patrick Pass: Offensive Holding, 10 yards",-1.830,-0.740
1,7:36,1,10,NWE 27,10,0,Tom Brady pass complete to Troy Brown for 7 yards (tackle by Chris Cash),0.740,1.140
1,7:06,2,3,NWE 34,10,0,Tom Brady pass complete to Marc Edwards for 2 yards (tackle by Todd Lyght),1.140,0.700
1,6:25,3,1,NWE 36,10,0,Tom Brady pass incomplete intended for Troy Brown,0.700,-0.980
1,6:22,4,1,NWE 36,10,0,"Ken Walter punts 45 yards, returned by Eddie Drummond for no gain",-0.980,-0.150
1,6:12,1,10,DET 19,10,0,James Stewart middle for -1 yards (tackle by Bobby Hamilton and Anthony Pleasant),0.150,-0.560
1,5:37,2,11,DET 18,10,0,Eddie Drummond left end for 23 yards (tackle by Victor Green),-0.560,1.660
1,4:47,1,10,DET 41,10,0,James Stewart middle for 6 yards (tackle by Otis Smith),1.660,1.930
1,4:15,2,4,DET 47,10,0,James Stewart right tackle for 3 yards (tackle by Roman Phifer),1.930,1.620
1,3:47,3,1,,10,0,"Cory Schlesinger middle for no gain (tackle by Willie McGinest). Penalty on Bobby Hamilton: Neutral Zone Infraction, 6 yards (no play)",1.620,2.650
1,3:29,1,10,NWE 44,10,0,Joey Harrington pass complete to Germane Crowell for 19 yards (tackle by Lawyer Milloy),2.650,3.910
1,2:52,1,10,NWE 25,10,0,Joey Harrington pass complete to James Stewart for 4 yards (tackle by Antwan Harris),3.910,3.900
1,2:15,2,6,NWE 21,10,0,Joey Harrington pass complete to Eddie Drummond for -2 yards (tackle by Ty Law),3.900,2.940
1,1:53,3,8,NWE 23,10,0,"Penalty on Richard Seymour: Neutral Zone Infraction, 5 yards (no play)",2.940,3.660
1,1:35,3,3,NWE 18,10,0,Joey Harrington pass complete to Mike McMahon for 7 yards (tackle by Anthony Pleasant). Penalty on Mike Vrabel: Defensive Offside (Declined),3.660,4.840
1,1:01,1,10,NWE 11,10,0,Joey Harrington pass incomplete intended for Scotty Anderson (defended by Willie McGinest),4.840,4.140
1,0:56,2,10,NWE 11,10,0,Joey Harrington pass complete to James Stewart for 7 yards (tackle by Roman Phifer and Ted Johnson),4.140,4.670
1,0:15,3,3,NWE 4,10,0,Joey Harrington pass incomplete intended for Mikhael Ricks,4.670,3.030
1,0:11,4,3,NWE 4,10,3,Jason Hanson 23 yard field goal good,3.030,3.000
1,0:11,,,DET 30,10,3,"Jason Hanson kicks off 65 yards, returned by Deion Branch for 21 yards (tackle by Stephen Trejo). Penalty on Rafael Cooper: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,0:11,,,DET 25,10,3,"Jason Hanson kicks off 70 yards, returned by Deion Branch for 63 yards",0.000,3.450
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 32,10,3,Antowain Smith left end for 7 yards (tackle by Donte Curry and Luther Elliss),3.450,3.850
2,14:22,2,3,DET 25,10,3,Antowain Smith left end for 6 yards (tackle by Donte Curry),3.850,4.310
2,13:45,1,10,DET 19,10,3,Tom Brady pass incomplete intended for David Patten is intercepted by Chris Cash at DET-16 and returned for 11 yards. Penalty on Antowain Smith: Illegal Motion (Declined),4.310,-0.740
2,13:37,1,10,DET 27,10,3,James Stewart right end for 4 yards (tackle by Lawyer Milloy),0.740,0.740
2,12:57,2,6,DET 31,10,3,James Stewart left end for 10 yards (tackle by Victor Green),0.740,1.660
2,12:17,1,10,DET 41,10,3,James Stewart right end for 2 yards (tackle by Lawyer Milloy),1.660,1.390
2,11:41,2,8,DET 43,10,3,Joey Harrington pass incomplete intended for Germane Crowell,1.390,0.700
2,11:35,3,8,DET 43,10,3,Joey Harrington pass incomplete intended for Germane Crowell,0.700,-0.520
2,11:31,4,8,DET 43,10,3,"John Jett punts 57 yards, touchback",-0.520,-0.280
2,11:20,1,10,NWE 20,10,3,Tom Brady pass complete to Troy Brown for 19 yards (tackle by Eric Davis),0.280,1.530
2,10:48,1,10,NWE 39,10,3,Tom Brady pass complete to Troy Brown for 11 yards (tackle by Chris Cash),1.530,2.260
2,10:23,1,10,,10,3,Antowain Smith left end for 4 yards (tackle by Donte Curry),2.260,2.250
2,9:47,2,6,DET 46,10,3,Kevin Faulk right tackle for 4 yards (tackle by Chris Claiborne),2.250,2.080
2,9:05,3,2,DET 42,10,3,"Penalty on Mike Compton: False Start, 5 yards (no play)",2.080,1.420
2,8:44,3,7,DET 47,10,3,Tom Brady pass incomplete intended for Deion Branch (defended by Todd Lyght),1.420,0.130
2,8:38,4,7,DET 47,10,3,"Ken Walter punts, blocked by Chris Claiborne, recovered by Patrick Pass",0.130,-3.180
2,8:23,1,10,NWE 36,10,3,Joey Harrington pass incomplete intended for Mikhael Ricks,3.180,2.640
2,8:18,2,10,NWE 36,10,3,James Stewart left end for 21 yards (tackle by Victor Green),2.640,4.580
2,7:36,1,10,NWE 15,10,3,Joey Harrington pass incomplete intended for James Stewart is intercepted by Willie McGinest at NWE-16 and returned for 2 yards,4.580,-0.040
2,7:28,1,10,NWE 18,10,3,Marc Edwards middle for 7 yards (tackle by Kalimba Edwards),0.040,0.550
2,6:58,2,3,NWE 25,10,3,Tom Brady pass complete to Troy Brown for 2 yards (tackle by Donte Curry and Shaun Rogers),0.550,-0.020
2,6:31,3,1,NWE 27,10,3,Antowain Smith right tackle for 3 yards (tackle by Travis Kirschke),-0.020,0.940
2,6:00,1,10,NWE 30,10,3,Tom Brady pass complete to Christian Fauria for 15 yards (tackle by Chris Cash),0.940,1.930
2,5:38,1,10,NWE 45,10,3,Kevin Faulk left end for 3 yards (tackle by Shaun Rogers and Travis Kirschke),1.930,1.790
2,4:55,2,7,NWE 48,10,3,Tom Brady pass incomplete intended for Daniel Graham,1.790,1.090
2,4:52,3,7,NWE 48,10,3,Tom Brady pass incomplete intended for Marc Edwards,1.090,-0.190
2,4:46,4,7,NWE 48,10,3,"Ken Walter punts 40 yards, out of bounds",-0.190,0.350
2,4:37,1,10,DET 12,10,3,Joey Harrington pass complete to Mikhael Ricks for 9 yards (tackle by Ty Law and Mike Vrabel),-0.350,0.420
2,4:16,2,1,DET 21,10,3,Joey Harrington pass incomplete intended for James Stewart is intercepted by Bobby Hamilton at DET-19,0.420,-4.310
2,4:06,1,10,DET 19,10,3,Antowain Smith right end for no gain (tackle by Todd Lyght),4.310,3.750
2,3:26,2,10,DET 19,10,3,Tom Brady pass complete to Kevin Faulk for 17 yards (tackle by Todd Lyght),3.750,6.740
2,3:07,1,2,DET 2,10,3,Antowain Smith right tackle for 1 yard (tackle by Shaun Rogers and Travis Kirschke),6.740,5.910
2,2:29,2,1,DET 1,16,3,"Antowain Smith right tackle for 1 yard, touchdown",5.910,7.000
2,2:29,,,DET 1,17,3,"Adam Vinatieri kicks extra point good. Penalty on Kelvin Pritchett: Unnecessary Roughness, 15 yards",0.000,0.000
