Unnamed: 0,SFO,STL
First Downs,20,21
Rush-Yds-TDs,26-148-1,24-88-1
Cmp-Att-Yd-TD-INT,21-38-243-2-1,25-36-236-2-0
Sacked-Yards,1-1,5-46
Net Pass Yards,242,190
Total Yards,390,278
Fumbles-Lost,1-0,4-4
Turnovers,1,4
Penalties-Yards,13-121,4-43
Third Down Conv.,4-14,6-14
Fourth Down Conv.,2-2,0-0
Time of Possession,30:03,31:57
