Quarter,Time,Tm,Detail,SFO,STL
1,11:44,49ers,Tai Streets 16 yard pass from Jeff Garcia (Jeff Chandler kick),7,0
,6:16,Rams,Torry Holt 11 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
2,8:45,49ers,Jeff Chandler 35 yard field goal,10,7
3,6:39,Rams,Marshall Faulk 2 yard rush (Jeff Wilkins kick),10,14
,1:15,49ers,Kevan Barlow 19 yard rush (Jeff Chandler kick),17,14
4,13:15,Rams,Dane Looker 19 yard pass from Marc Bulger (Jeff Wilkins kick),17,21
,3:20,Rams,Jeff Wilkins 29 yard field goal,17,24
,0:19,49ers,Terrell Owens 13 yard pass from Jeff Garcia (Jeff Chandler kick),24,24
OT,13:00,Rams,Jeff Wilkins 28 yard field goal,24,27
