Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 58 yards, returned by Onterrio Smith for 35 yards (tackle by Michael Hawthorne). Penalty on Larry Ned: Offensive Holding, 10 yards",0.000,0.540
1,14:53,1,10,MIN 24,0,0,Michael Bennett left tackle for 1 yard (tackle by Grady Jackson),0.540,0.130
1,14:20,2,9,MIN 25,0,0,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Al Harris),0.130,0.370
1,13:36,3,2,MIN 32,6,0,"Daunte Culpepper pass complete to Moe Williams for 68 yards, touchdown",0.370,7.000
1,13:36,,,GNB 32,7,0,Morten Andersen kicks extra point good,0.000,0.000
1,13:36,,,MIN 30,7,0,"Jose Cortez kicks off 57 yards, returned by Tony Fisher for 10 yards (tackle by Moe Williams)",0.000,0.480
1,13:15,1,10,GNB 23,7,0,Brett Favre pass complete to Ahman Green for 2 yards (tackle by Keith Newman),0.480,0.200
1,12:54,2,8,GNB 25,7,0,Ahman Green left end for 2 yards (tackle by Kevin Williams and Kenechi Udeze),0.200,-0.230
1,12:12,3,6,GNB 27,7,0,Brett Favre sacked by Chris Claiborne for -10 yards,-0.230,-2.320
1,11:54,4,16,GNB 17,7,0,"Bryan Barker punts 45 yards, returned by Nate Burleson for 7 yards (tackle by Jason Horton)",-2.320,-1.930
1,11:45,1,10,MIN 45,7,0,Daunte Culpepper pass complete to Jermaine Wiggins for 9 yards (tackle by Darren Sharper),1.930,2.600
1,11:12,2,1,GNB 46,7,0,Daunte Culpepper pass complete to Jermaine Wiggins for 13 yards (tackle by Darren Sharper and Aaron Kampman),2.600,3.380
1,10:36,1,10,GNB 33,7,0,Michael Bennett left end for 13 yards (tackle by Mark Roman),3.380,4.240
1,9:57,1,10,GNB 20,13,0,"Daunte Culpepper pass complete to Randy Moss for 20 yards, touchdown",4.240,7.000
1,9:57,,,GNB 20,14,0,Morten Andersen kicks extra point good,0.000,0.000
1,9:57,,,MIN 30,14,0,"Jose Cortez kicks off 58 yards, returned by Najeh Davenport for 30 yards (tackle by Brian Williams)",0.000,1.730
1,9:44,1,10,GNB 42,14,0,Ahman Green right end for 12 yards (tackle by Willie Offord and Brian Williams),1.730,2.520
1,9:12,1,10,MIN 46,14,0,"Penalty on Chad Clifton: False Start, 5 yards (no play)",2.520,2.190
1,8:50,1,15,GNB 49,14,0,Brett Favre pass incomplete intended for Donald Driver is intercepted by Antoine Winfield at MIN-40 and returned for 3 yards,2.190,-1.800
1,8:44,1,10,MIN 43,14,0,Daunte Culpepper pass complete to Michael Bennett for 9 yards (tackle by Hannibal Navies),1.800,2.470
1,8:05,2,1,GNB 48,14,0,Daunte Culpepper left end for 23 yards (tackle by Mark Roman),2.470,3.910
1,7:30,1,10,GNB 25,14,0,Michael Bennett middle for -2 yards (tackle by Darren Sharper and Aaron Kampman),3.910,3.090
1,6:54,2,12,GNB 27,14,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Al Harris),3.090,2.410
1,6:48,3,12,GNB 27,14,0,Daunte Culpepper pass complete to Jermaine Wiggins for 10 yards (tackle by Nick Barnett and Joey Thomas),2.410,2.440
1,6:12,4,2,GNB 17,17,0,Morten Andersen 35 yard field goal good,2.440,3.000
1,6:12,,,MIN 30,17,0,"Jose Cortez kicks off 52 yards, returned by Najeh Davenport for 20 yards (tackle by Rod Davis)",0.000,1.470
1,6:01,1,10,GNB 38,17,0,Brett Favre pass complete to William Henderson for 7 yards (tackle by Darrion Scott),1.470,1.870
1,5:29,2,3,GNB 45,17,0,"Brett Favre for no gain. Brett Favre fumbles, recovered by Ahman Green at GNB-46",1.870,1.290
1,4:49,3,2,GNB 46,17,0,Ahman Green left tackle for 3 yards (tackle by Kenechi Udeze and Kevin Williams),1.290,2.190
1,4:16,1,10,GNB 49,17,0,Brett Favre pass complete to Javon Walker for 21 yards (tackle by Antoine Winfield),2.190,3.580
1,3:39,1,10,MIN 30,17,0,Najeh Davenport right end for 5 yards (tackle by Keith Newman and Kenny Mixon),3.580,3.710
1,3:01,2,5,MIN 25,17,0,Brett Favre pass incomplete intended for Javon Walker (defended by Brian Williams),3.710,3.010
1,2:56,3,5,MIN 25,17,0,Brett Favre pass incomplete intended for Javon Walker,3.010,1.850
1,2:47,4,5,MIN 25,17,3,Ryan Longwell 43 yard field goal good,1.850,3.000
1,2:47,,,GNB 30,17,3,"Ryan Longwell kicks off 57 yards, returned by Onterrio Smith for 13 yards (tackle by Steve Josue)",0.000,0.670
1,2:37,1,10,MIN 26,17,3,Michael Bennett left tackle for 1 yard (tackle by Grady Jackson),0.670,0.270
1,1:57,2,9,MIN 27,17,3,Daunte Culpepper pass complete to Michael Bennett for 3 yards (tackle by Al Harris),0.270,-0.030
1,1:10,3,6,MIN 30,17,3,Daunte Culpepper sacked by Michael Hawthorne for -8 yards,-0.030,-1.900
1,0:45,4,14,MIN 22,17,3,"Darren Bennett punts 35 yards, fair catch by Antonio Chatman",-1.900,-1.800
1,0:38,1,10,GNB 43,17,3,Ahman Green right end for 7 yards (tackle by Keith Newman and Willie Offord),1.800,2.200
1,0:02,2,3,MIN 50,17,3,Najeh Davenport right guard for 5 yards (tackle by Kenny Mixon and E.J. Henderson),2.200,2.590
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
